name,par1,par2,score
Current_WLN,0.3,6,0.07566701394722619
WLN_p01_o4,0.1,4,0.05933559854273729
WLN_p01_o6,0.1,6,0.07566701394722619
WLN_p03_o4,0.3,4,0.05933559854273729
WLN_p03_o8,0.3,8,0.08897606921964218
WLN_p06_o4,0.6,4,0.05933559854273729
WLN_p06_o6,0.6,6,0.07566701394722619
WLN_p10_o4,1.0,4,0.12365378505575564
WLN_p10_o6,1.0,6,0.13511042465279954
