interface_ok,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_window_peak_change_db,processed_reference_response_vs_clean_db,false_peak_count_before,false_peak_count_after,false_true_peak_ratio_before,false_true_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index,cfar_reference_cells_min,cfar_reference_cells_max,target_only_response_change_db,target_only_reference_peak_index,jammer,algorithm,jsr_db,seed,parameter_strength,parameter_regularization
True,16.353180768766805,18.740444865893785,2.3872640971269803,False,True,1501,1501,1,1,3.0,3.0,-0.7339091612213665,2.6054369852149066,0,0,0.0,0.0,-inf,-inf,0.37679204251617193,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,42,0.6,0.3
True,15.282930066141088,17.782776415918402,2.4998463497773145,False,True,1500,1500,0,0,0.0,0.0,-0.6983266720028927,2.391628107677089,0,1,0.0,0.012936839697928727,-inf,-37.763436064349825,0.37591694854199886,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,43,0.6,0.3
True,15.405190355752733,17.807254473275925,2.4020641175231923,False,True,1501,1501,1,1,3.0,3.0,-0.7707643911431914,2.4108907437978027,0,0,0.0,0.0,-inf,-inf,0.37766696186736226,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,44,0.6,0.3
True,16.896053607076674,19.52091975800198,2.624866150925307,False,True,1501,1501,1,1,3.0,3.0,-0.6589614504195644,3.0686341050997505,0,0,0.0,0.0,-inf,-inf,0.37704198621213436,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,45,0.6,0.3
True,15.547333281903356,18.14676785247952,2.5994345705761646,False,True,1501,1501,1,1,3.0,3.0,-0.4232692946438936,2.7430057823729443,1,1,0.018400663757994585,0.01685751601326085,-34.70333021237985,-35.46412838213809,0.3774579963646829,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,46,0.6,0.3
True,15.687879851752466,18.265699698833252,2.577819847080786,False,True,1501,1501,1,1,3.0,3.0,-0.4973546733211573,2.1313694975278876,0,1,0.0,0.013007963421305382,-inf,-37.71581385988877,0.37741701817139983,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,47,0.6,0.3
True,15.538145421000113,17.98400781296619,2.4458623919660774,False,True,1501,1501,1,1,3.0,3.0,-0.7316126804729794,2.6955985006489507,0,1,0.0,0.010855352307609128,-inf,-39.28712154134889,0.37758401595056057,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,48,0.6,0.3
True,15.82514724592124,18.231267436618634,2.4061201906973935,False,True,1500,1500,0,0,0.0,0.0,-0.8085413133142365,2.1255820431319172,0,0,0.0,0.0,-inf,-inf,0.3789589973166585,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,49,0.6,0.3
True,13.60902545859728,15.927742503297067,2.3187170446997865,False,False,1500,1500,0,0,0.0,0.0,-0.8231374636930082,0.641325196242833,0,0,0.0,0.0,-inf,-inf,0.377874996047467,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,50,0.6,0.3
True,17.300604577698916,19.82876295940516,2.5281583817062447,True,True,1501,1501,1,1,3.0,3.0,-0.4470858424786401,3.9725155172298683,0,1,0.0,0.015977328792067348,-inf,-35.929916550297925,0.4092919989489019,80000,1500,20,40,-0.005396297253560198,1500,AMNoiseGaiJam,New_FDC,20.0,51,0.6,0.3
