jammer,jsr_db,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,0.0,fixed_0,100,100,60,-22.982537224097065,29.633844277941076,9.183623487014078,-50.37409188338958,-100.74809690831707,0.2,2300.0,250.24,0.800065691018382,1.1317870736236322,0.019361748127266765,400000000.0
AMNoiseGaiJam,0.0,missing,100,100,60,-22.982537224097065,29.633844277941076,9.183623487014078,-50.37409188338958,-100.74809690831707,0.2,2300.0,250.24,0.800065691018382,1.1317870736236322,0.019285427988506854,400000000.0
AMNoiseGaiJam,0.0,offset_+1,100,100,0,7.8348866391826455,0.8509361334460289,0.16678348215542166,-0.3018543450605612,-0.30359237476763723,1.0,1.0,291.77,0.18798059920421575,1.776094222931877,0.01919538772199303,400000000.0
AMNoiseGaiJam,0.0,offset_+16,100,100,0,-2.9885271709645145,0.8610278776957252,0.16876146402836215,-28.501699208166965,-28.529718531976496,0.0,16.0,291.41,0.9832286201786321,1.2971153619840419,0.01930207305122167,400000000.0
AMNoiseGaiJam,0.0,offset_+2,100,100,0,7.828795643173037,0.8503322630561753,0.16666512355901036,-1.1851414314792919,-1.1886192315169712,1.0,2.0,290.62,0.3637474088596278,1.6055776775241537,0.019314116798341274,400000000.0
AMNoiseGaiJam,0.0,offset_+32,100,100,0,-23.269876543653183,0.8658990235822762,0.16971620862212614,-60.84436354784307,-60.90086154434165,0.0,32.0,287.01,1.002070910623966,1.4186997961763188,0.019244919531047344,400000000.0
AMNoiseGaiJam,0.0,offset_+4,100,100,0,7.672459589118706,0.8491618248147623,0.16643571766369342,-4.861876158740904,-4.868838735280628,1.0,4.0,290.3,0.667493308034184,1.7946138505742095,0.019257451058365405,400000000.0
AMNoiseGaiJam,0.0,offset_+8,100,100,0,6.770598905957463,0.8506898289073407,0.16673520646583878,-24.75619952191072,-24.77015269320042,1.0,8.0,290.04,0.9850482239449403,1.3605278810864265,0.019377542776055634,400000000.0
AMNoiseGaiJam,0.0,offset_-1,100,100,0,7.8360191815525555,0.8524496528089551,0.1670801319505552,-0.24289127150652978,-0.30359237476763823,1.0,0.8,291.74,0.1504655478201328,1.4209204231429033,0.019214620115235448,400000000.0
AMNoiseGaiJam,0.0,offset_-16,100,100,0,-0.8223685363876956,3.5836815613671,0.7024015860279516,-22.823792197273615,-28.529718531976496,0.2,12.8,294.79,0.7859202255849663,1.0386805062952917,0.019298706902191043,400000000.0
