jammer,target_position,mode,active_status,equivalent_status,normalized_output_difference,active_runtime_ms,active_memory_bytes,equivalent_runtime_ms,equivalent_workspace_bytes
NoiseProductJamming,1500,true,PASS,PASS,6.945476353336149e-16,77.55916699534282,400258835,0.03670802107080817,160016
NoiseProductJamming,1500,offset_-32,PASS,PASS,1.0887091490639846e-15,27.345874987076968,400241200,0.035792007111012936,160016
NoiseProductJamming,1500,offset_-16,PASS,PASS,2.2684142364266843e-15,27.99441700335592,400241136,0.035375007428228855,160016
NoiseProductJamming,1500,offset_-8,PASS,PASS,9.444265996760677e-16,28.122917050495744,400241136,0.030082999728620052,160016
NoiseProductJamming,1500,offset_-4,PASS,PASS,6.883305104813216e-16,27.977499994449317,400241136,0.02820801455527544,160016
NoiseProductJamming,1500,offset_-2,PASS,PASS,6.635392693453565e-16,28.7340420181863,400241136,0.02879201201722026,160016
NoiseProductJamming,1500,offset_-1,PASS,PASS,6.880069977585977e-16,28.792041004635394,400241136,0.027125002816319466,160016
NoiseProductJamming,1500,offset_+1,PASS,PASS,6.576192549281395e-16,28.726916993036866,400241136,0.02658303128555417,160016
NoiseProductJamming,1500,offset_+2,PASS,PASS,7.220989838695411e-16,28.621250006835908,400241136,0.03266701241955161,160016
NoiseProductJamming,1500,offset_+4,PASS,PASS,8.242061826055918e-16,28.666416998021305,400241136,0.02541701542213559,160016
NoiseProductJamming,1500,offset_+8,PASS,PASS,1.961991187739487e-15,29.068833973724395,400241136,0.02862501423805952,160016
NoiseProductJamming,1500,offset_+16,PASS,PASS,9.199230757934197e-16,29.874166008085012,400241136,0.027917034458369017,160016
NoiseProductJamming,1500,offset_+32,PASS,PASS,8.52269053510722e-16,30.331375019159168,400241136,0.02987496554851532,160016
NoiseProductJamming,1500,fixed_0,PASS,PASS,1.4080004617120036e-15,29.718249978031963,400241104,0.02758402843028307,160016
NoiseProductJamming,1500,random,PASS,PASS,1.9986977174941016e-15,30.305374995805323,400241136,0.027499976567924023,160016
NoiseProductJamming,1500,missing,PASS,PASS,1.4080004617120036e-15,30.164208030328155,400241104,0.026458001229912043,160016
NoiseProductJamming,2500,true,PASS,PASS,7.129444801046238e-16,29.842167044989765,400241136,0.027958012651652098,160016
NoiseProductJamming,2500,offset_-32,PASS,PASS,1.1370136234929286e-15,30.27966700028628,400241136,0.02658303128555417,160016
NoiseProductJamming,2500,offset_-16,PASS,PASS,2.4311752213875833e-15,29.799917014315724,400241136,0.02679100725799799,160016
NoiseProductJamming,2500,offset_-8,PASS,PASS,9.513743137363958e-16,29.971791023854166,400241136,0.027416041120886803,160016
NoiseProductJamming,2500,offset_-4,PASS,PASS,7.195930665689628e-16,29.65399995446205,400241136,0.026333029381930828,160016
NoiseProductJamming,2500,offset_-2,PASS,PASS,6.742556968684493e-16,29.757000040262938,400241136,0.02583296736702323,160016
NoiseProductJamming,2500,offset_-1,PASS,PASS,7.01978025058573e-16,29.8507499974221,400241136,0.027125002816319466,160016
NoiseProductJamming,2500,offset_+1,PASS,PASS,6.663239472760483e-16,29.84862495213747,400241136,0.026834022719413042,160016
NoiseProductJamming,2500,offset_+2,PASS,PASS,7.335698353014101e-16,32.746125012636185,400241136,0.03725005080923438,160016
NoiseProductJamming,2500,offset_+4,PASS,PASS,8.319787615717426e-16,32.172792009077966,400241136,0.041458988562226295,160016
NoiseProductJamming,2500,offset_+8,PASS,PASS,2.0838952672812223e-15,31.699374958407134,400241136,0.035416975151747465,160016
NoiseProductJamming,2500,offset_+16,PASS,PASS,1.09334474655547e-15,31.684292014688253,400241136,0.03933301195502281,160016
NoiseProductJamming,2500,offset_+32,PASS,PASS,8.466375314090709e-16,31.471624970436096,400241136,0.04479201743379235,160016
NoiseProductJamming,2500,fixed_0,PASS,PASS,0.0,31.35937504703179,400241104,0.034791999496519566,160016
NoiseProductJamming,2500,random,PASS,PASS,1.7482623925113737e-15,31.99337498517707,400241136,0.034208991564810276,160016
NoiseProductJamming,2500,missing,PASS,PASS,0.0,31.85879101511091,400241104,0.03191700670868158,160016
NoiseConvolutionJamming,1500,true,PASS,PASS,6.069837075604806e-16,31.647249998059124,400241136,0.032542040571570396,160016
NoiseConvolutionJamming,1500,offset_-32,PASS,PASS,9.029691523857028e-16,31.62349999183789,400241136,0.032750016544014215,160016
NoiseConvolutionJamming,1500,offset_-16,PASS,PASS,6.9887820336264855e-15,34.01599999051541,400241136,0.032625044696033,160016
NoiseConvolutionJamming,1500,offset_-8,PASS,PASS,8.212575512254947e-16,34.11054197931662,400241136,0.03466702764853835,160016
NoiseConvolutionJamming,1500,offset_-4,PASS,PASS,6.151661119029444e-16,33.88529201038182,400241136,0.029041024390608072,160016
NoiseConvolutionJamming,1500,offset_-2,PASS,PASS,5.667359110685166e-16,34.0602079522796,400241136,0.027875008527189493,160016
NoiseConvolutionJamming,1500,offset_-1,PASS,PASS,5.79382056591853e-16,33.973250014241785,400241136,0.02700003096833825,160016
NoiseConvolutionJamming,1500,offset_+1,PASS,PASS,6.93318437179724e-16,33.97316701011732,400241136,0.027499976567924023,160016
NoiseConvolutionJamming,1500,offset_+2,PASS,PASS,6.707498204817211e-16,33.95954199368134,400241136,0.02741703065112233,160016
NoiseConvolutionJamming,1500,offset_+4,PASS,PASS,8.26585098729914e-16,33.961292007006705,400241136,0.02741598291322589,160016
NoiseConvolutionJamming,1500,offset_+8,PASS,PASS,1.800811296555628e-15,33.922541013453156,400241136,0.02783298259600997,160016
NoiseConvolutionJamming,1500,offset_+16,PASS,PASS,1.9503078329752827e-15,34.254042024258524,400241136,0.028458947781473398,160016
NoiseConvolutionJamming,1500,offset_+32,PASS,PASS,1.3393393653142042e-15,33.94583298359066,400241136,0.02820801455527544,160016
NoiseConvolutionJamming,1500,fixed_0,PASS,PASS,7.775183273131764e-16,34.392666013445705,400241104,0.032167008612304926,160016
NoiseConvolutionJamming,1500,random,PASS,PASS,1.9986977174941016e-15,37.18941705301404,400241136,0.03312499029561877,160016
NoiseConvolutionJamming,1500,missing,PASS,PASS,7.775183273131764e-16,37.45754202827811,400241104,0.0321249826811254,160016
NoiseConvolutionJamming,2500,true,PASS,PASS,6.192692464339332e-16,37.41225000703707,400241136,0.03362499410286546,160016
NoiseConvolutionJamming,2500,offset_-32,PASS,PASS,9.263596934112787e-16,37.479624967090786,400241136,0.031957984901964664,160016
NoiseConvolutionJamming,2500,offset_-16,PASS,PASS,7.774810687041954e-15,37.387332995422184,400241136,0.03083399496972561,160016
NoiseConvolutionJamming,2500,offset_-8,PASS,PASS,8.092080865853404e-16,37.28258301271126,400241136,0.03145803930237889,160016
NoiseConvolutionJamming,2500,offset_-4,PASS,PASS,6.068901034519534e-16,37.465250003151596,400241136,0.03041699528694153,160016
NoiseConvolutionJamming,2500,offset_-2,PASS,PASS,5.767132302861632e-16,37.286542006768286,400241136,0.030292023438960314,160016
NoiseConvolutionJamming,2500,offset_-1,PASS,PASS,5.810234187295758e-16,37.33062499668449,400241136,0.030957977287471294,160016
NoiseConvolutionJamming,2500,offset_+1,PASS,PASS,6.925236602536047e-16,37.42629196494818,400241136,0.02987496554851532,160016
NoiseConvolutionJamming,2500,offset_+2,PASS,PASS,6.664969726740623e-16,37.3448749887757,400241136,0.030334049370139837,160016
NoiseConvolutionJamming,2500,offset_+4,PASS,PASS,8.202498495770234e-16,37.37241594353691,400241136,0.0302919652312994,160016
NoiseConvolutionJamming,2500,offset_+8,PASS,PASS,1.8303751558189047e-15,37.374791980255395,400241136,0.03066594945266843,160016
NoiseConvolutionJamming,2500,offset_+16,PASS,PASS,1.990375741035592e-15,37.51095797633752,400241136,0.03616698086261749,160016
NoiseConvolutionJamming,2500,offset_+32,PASS,PASS,1.3425650375974103e-15,37.55841695237905,400241136,0.029959017410874367,160016
NoiseConvolutionJamming,2500,fixed_0,PASS,PASS,0.0,37.67012502066791,400241104,0.039624981582164764,160016
NoiseConvolutionJamming,2500,random,PASS,PASS,8.600608394253946e-16,37.51479199854657,400241136,0.03466696944087744,160016
NoiseConvolutionJamming,2500,missing,PASS,PASS,0.0,37.563207966741174,400241104,0.03391597419977188,160016
