jammer,algorithm,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,10.0,500,10,10,0,0,0,13.325301259573724,0.5391202542457161,-8.685846209919741e-05,1.0,0.0,0.5392658739338728,2.4277166987303644,970443.0
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,20.0,1500,10,10,0,0,0,24.40394171194128,1.0776726218447878,-8.685846209919741e-05,1.0,0.5,0.5117317230072513,2.410862495889887,970466.0
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,20.0,3500,10,10,0,0,0,24.40100519585479,1.0777470416379127,-8.685846209726874e-05,1.0,0.5,0.5117317230072513,2.471120795235038,970456.8
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,20.0,500,10,10,0,0,0,21.03258187080669,0.9782481204585703,-8.685846209919741e-05,1.0,0.0,0.5176198776700798,2.4078331829514354,970438.4
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,30.0,1500,10,10,0,0,0,-13.4151041531405,22.78560764544463,-8.685846209919741e-05,0.2,268.5,0.50346297647231,2.347633196040988,970429.2
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,30.0,3500,10,10,0,0,0,-13.415402634913425,22.785621707581985,-8.685846209726874e-05,0.2,268.5,0.50346297647231,2.4201500113122165,970424.6
AMNoiseGaiJam,adapt_filter_fair_multihypothesis,30.0,500,10,10,0,0,0,16.99612241316199,17.565571077023826,-8.685846209919741e-05,0.7,25.7,0.5047765139828106,2.3479417024645954,970443.0
AMNoiseGaiJam,adapt_filter_oracle,0.0,1500,10,10,0,0,0,8.325344264281682,0.3466223896590672,-8.685846209919741e-05,1.0,0.0,1.0,32.751820812700316,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,0.0,3500,10,10,0,0,0,8.093126685155003,0.35561227084394814,-8.685846209919741e-05,1.0,0.0,1.0,32.78654171153903,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,0.0,500,10,10,0,0,0,6.05653055432156,0.33286672288385033,-8.685846209919741e-05,1.0,0.0,1.0,32.36562898964621,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,10.0,1500,10,10,0,0,0,16.534835783410482,0.5590253610347812,-8.685846209919741e-05,1.0,0.0,1.0,32.488208304857835,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,10.0,3500,10,10,0,0,0,16.505952651904266,0.5600951468655714,-8.685846209919741e-05,1.0,0.0,1.0,32.60914570419118,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,10.0,500,10,10,0,0,0,13.325301259573724,0.5391202542457164,-8.685846209919741e-05,1.0,0.0,1.0,32.61072079767473,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,20.0,1500,10,10,0,0,0,24.402564218232843,1.077618156560722,-8.685846209919741e-05,1.0,0.0,1.0,32.557374803582206,400257360.0
