jammer,jsr_db,seed,target_position,algorithm,role,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,condition_number,regularization,diagnostics_json,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,exception_type,exception_message,target_only_response_change_db,target_only_response_change_is_finite,target_preservation_status,target_only_reference_peak_index,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db
NoiseProductJamming,20.0,6000,3500,adapt_filter_fair,FAIR_PROTOTYPE_A,3500,3160,340,0.52186415617045,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.04372831234090054, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.9999999999999994, ""topk_candidates"": [{""center"": 3160, ""matched_response"": 1765.8369703852609, ""normalized_peak"": 0.9999999999999994, ""relative_score"": 292.9075455783315}, {""center"": 3355, ""matched_response"": 1688.6198998011444, ""normalized_peak"": 0.9562716876590988, ""relative_score"": 280.0991929382756}, {""center"": 3613, ""matched_response"": 1621.1407691051274, ""normalized_peak"": 0.9180580066524685, ""relative_score"": 268.90611742711025}, {""center"": 3000, ""matched_response"": 1584.5502856983865, ""normalized_peak"": 0.8973366807201216, ""relative_score"": 262.83668470713786}, {""center"": 3773, ""matched_response"": 1223.6475484221248, ""normalized_peak"": 0.6929561272891207, ""relative_score"": 202.97207843772236}]}",PASS,,PASS,0.7362919859588146,402428,,,-8.685846209726874e-05,True,TARGET_PRESERVED,3500,-22.186406602360407,False,False,340,340,0,158,-36.075883426014144
NoiseProductJamming,20.0,6000,3500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,3500,3160,340,0.5011561663193712,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_scores"": [4.8314127202245345, 4.820240886900319, 4.8100516736536925, 4.8043478714509655, 4.739778260586937], ""candidate_separation"": 125, ""margin_confidence"": 0.00231233263874306, ""method"": ""multi_hypothesis_observable_stability"", ""peak_confidence"": 0.9999999999999994, ""topk_candidates"": [{""center"": 3160, ""local_peak"": 1765.8193121921395, ""observable_selection_score"": 4.8314127202245345, ""off_candidate_peak"": 96.28233629845799, ""stability_proxy"": 18.34001313302575}, {""center"": 3355, ""local_peak"": 1688.6030137710072, ""observable_selection_score"": 4.820240886900319, ""off_candidate_peak"": 92.07207222388732, ""stability_proxy"": 18.340013133025753}, {""center"": 3613, ""local_peak"": 1621.12455785955, ""observable_selection_score"": 4.8100516736536925, ""off_candidate_peak"": 88.392769738005, ""stability_proxy"": 18.34001313302574}, {""center"": 3000, ""local_peak"": 1584.534440353983, ""observable_selection_score"": 4.8043478714509655, ""off_candidate_peak"": 86.39767206603676, ""stability_proxy"": 18.34001313302573}, {""center"": 3773, ""local_peak"": 1223.6353120690042, ""observable_selection_score"": 4.739778260586937, ""off_candidate_peak"": 66.71943488772817, ""stability_proxy"": 18.340013133025675}]}",PASS,,PASS,2.306249982211739,970374,,,-8.685846209726874e-05,True,TARGET_PRESERVED,3500,-22.186406602360407,False,False,340,340,0,158,-36.075883426014144
NoiseProductJamming,20.0,6001,500,Identity,IDENTITY_BASELINE,500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,500,0.0,False,False,246,246,88,88,-1.0607602132086164e-14
NoiseProductJamming,20.0,6001,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,30.849834030959755,400257328,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,33.093083402497,False,True,246,0,88,626,-1.7073670049744647
NoiseProductJamming,20.0,6001,500,adapt_filter_fair,FAIR_PROTOTYPE_A,500,685,185,0.6395485095377601,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.4157054177049127, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.8633916013706076, ""topk_candidates"": [{""center"": 685, ""matched_response"": 1648.791717309655, ""normalized_peak"": 0.8633916013706076, ""relative_score"": 206.40057125780422}, {""center"": 847, ""matched_response"": 963.3800677570413, ""normalized_peak"": 0.504475035079924, ""relative_score"": 120.5987355685457}, {""center"": 538, ""matched_response"": 880.4966708130125, ""normalized_peak"": 0.46107305285059363, ""relative_score"": 110.22314943632716}, {""center"": 978, ""matched_response"": 382.3877818470358, ""normalized_peak"": 0.200237783734246, ""relative_score"": 47.86842133342068}, {""center"": 1578, ""matched_response"": 22.62673691414889, ""normalized_peak"": 0.011848515742167266, ""relative_score"": 2.8324811289085856}]}",PASS,,PASS,0.7262079743668437,402428,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,-14.987003043981598,False,False,246,185,88,598,-29.034681770499887
NoiseProductJamming,20.0,6001,500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,500,685,185,0.44563659649300613,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_scores"": [4.814277250833484, 4.680047538602384, 4.6575814753605265, 4.449437909636028, 3.752770916797672], ""candidate_separation"": 125, ""margin_confidence"": 0.02788159161540468, ""method"": ""multi_hypothesis_observable_stability"", ""peak_confidence"": 0.8633916013706076, ""topk_candidates"": [{""center"": 685, ""local_peak"": 1648.7752295573591, ""observable_selection_score"": 4.814277250833484, ""off_candidate_peak"": 89.90043887091407, ""stability_proxy"": 18.340013133025728}, {""center"": 847, ""local_peak"": 963.3704340527005, ""observable_selection_score"": 4.680047538602384, ""off_candidate_peak"": 52.52833937822557, ""stability_proxy"": 18.34001313302559}, {""center"": 538, ""local_peak"": 880.4878659343533, ""observable_selection_score"": 4.6575814753605265, ""off_candidate_peak"": 48.009118616649594, ""stability_proxy"": 18.340013133025547}, {""center"": 978, ""local_peak"": 382.3839580074557, ""observable_selection_score"": 4.449437909636028, ""off_candidate_peak"": 20.849710151999535, ""stability_proxy"": 18.34001313302506}, {""center"": 1578, ""local_peak"": 22.626510649042366, ""observable_selection_score"": 3.752770916797672, ""off_candidate_peak"": 1.2337237975199415, ""stability_proxy"": 18.340013133011077}]}",PASS,,PASS,2.2600829834118485,970512,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,-14.987003043981598,False,False,246,185,88,598,-29.034681770499887
NoiseProductJamming,20.0,6001,1500,Identity,IDENTITY_BASELINE,1500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,1500,0.0,False,False,246,246,0,0,-1.0607602132086164e-14
NoiseProductJamming,20.0,6001,1500,adapt_filter_oracle,ORACLE_UPPER_BOUND,1500,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,30.116917041596025,400257360,,,-8.685846209919741e-05,True,TARGET_PRESERVED,1500,33.23563189960845,False,True,246,0,0,449,-1.7086884679170997
NoiseProductJamming,20.0,6001,1500,adapt_filter_fair,FAIR_PROTOTYPE_A,1500,1254,246,0.5699445587534836,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.1398891175069677, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.9999999999999996, ""topk_candidates"": [{""center"": 1254, ""matched_response"": 1916.9525126000403, ""normalized_peak"": 0.9999999999999996, ""relative_score"": 186.92065803276574}, {""center"": 1685, ""matched_response"": 1648.7917173096548, ""normalized_peak"": 0.8601108824930311, ""relative_score"": 160.7724921367403}, {""center"": 1401, ""matched_response"": 1348.2605319345248, ""normalized_peak"": 0.7033353841957325, ""relative_score"": 131.4679128315945}, {""center"": 1098, ""matched_response"": 998.5724665121725, ""normalized_peak"": 0.5209166424043378, ""relative_score"": 97.37008157843778}, {""center"": 1847, ""matched_response"": 963.3800677570413, ""normalized_peak"": 0.5025581288137229, ""relative_score"": 93.93849613757658}]}",PASS,,PASS,0.6790419574826956,402428,,,-8.685846209919741e-05,True,TARGET_PRESERVED,1500,-17.67286926515436,False,False,246,246,0,501,-30.596029737771637
NoiseProductJamming,20.0,6001,1500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,1500,1254,246,0.5038801359333567,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_scores"": [4.851929543166605, 4.814277250833484, 4.764004160894643, 4.68900808260414, 4.680047538602384], ""candidate_separation"": 125, ""margin_confidence"": 0.007760271866713745, ""method"": ""multi_hypothesis_observable_stability"", ""peak_confidence"": 0.9999999999999996, ""topk_candidates"": [{""center"": 1254, ""local_peak"": 1916.9333432666083, ""observable_selection_score"": 4.851929543166605, ""off_candidate_peak"": 104.52191769779455, ""stability_proxy"": 18.340013133025764}, {""center"": 1685, ""local_peak"": 1648.7752295573596, ""observable_selection_score"": 4.814277250833484, ""off_candidate_peak"": 89.90043887091404, ""stability_proxy"": 18.34001313302574}, {""center"": 1401, ""local_peak"": 1348.2470494640304, ""observable_selection_score"": 4.764004160894643, ""off_candidate_peak"": 73.51396314085311, ""stability_proxy"": 18.340013133025685}, {""center"": 1098, ""local_peak"": 998.5624808873638, ""observable_selection_score"": 4.68900808260414, ""off_candidate_peak"": 54.44720642479766, ""stability_proxy"": 18.340013133025607}, {""center"": 1847, ""local_peak"": 963.3704340527005, ""observable_selection_score"": 4.680047538602384, ""off_candidate_peak"": 52.52833937822556, ""stability_proxy"": 18.340013133025593}]}",PASS,,PASS,2.1202079951763153,970512,,,-8.685846209919741e-05,True,TARGET_PRESERVED,1500,-17.67286926515436,False,False,246,246,0,501,-30.596029737771637
NoiseProductJamming,20.0,6001,3500,Identity,IDENTITY_BASELINE,3500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,3500,0.0,False,False,246,246,1,1,-1.0607602132086164e-14
NoiseProductJamming,20.0,6001,3500,adapt_filter_oracle,ORACLE_UPPER_BOUND,3500,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,30.677167000249028,400257360,,,-8.685846209919741e-05,True,TARGET_PRESERVED,3500,33.234659165659124,False,True,246,0,1,90,-1.7086884679171033
NoiseProductJamming,20.0,6001,3500,adapt_filter_fair,FAIR_PROTOTYPE_A,3500,3254,246,0.5699445587534837,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.13988911750696784, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.9999999999999996, ""topk_candidates"": [{""center"": 3254, ""matched_response"": 1916.9525126000403, ""normalized_peak"": 0.9999999999999996, ""relative_score"": 300.87220199714613}, {""center"": 3685, ""matched_response"": 1648.791717309655, ""normalized_peak"": 0.8601108824930312, ""relative_score"": 258.78345517738705}, {""center"": 3401, ""matched_response"": 1348.2605319345253, ""normalized_peak"": 0.7033353841957327, ""relative_score"": 211.614065785479}, {""center"": 3098, ""matched_response"": 998.5724665121725, ""normalized_peak"": 0.5209166424043378, ""relative_score"": 156.72933725715313}, {""center"": 3847, ""matched_response"": 963.3800677570413, ""normalized_peak"": 0.5025581288137229, ""relative_score"": 151.2057708477503}]}",PASS,,PASS,0.7158339722082019,402382,,,-8.685846209726874e-05,True,TARGET_PRESERVED,3500,-17.673841999103715,False,False,246,246,1,140,-30.59602973777166
NoiseProductJamming,20.0,6001,3500,adapt_filter_fair_multihypothesis,FAIR_PROTOTYPE_B,3500,3254,246,0.5038801359333567,,FITTED_MULTI_HYPOTHESIS_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_scores"": [4.851929543166605, 4.814277250833484, 4.764004160894643, 4.68900808260414, 4.680047538602384], ""candidate_separation"": 125, ""margin_confidence"": 0.007760271866713745, ""method"": ""multi_hypothesis_observable_stability"", ""peak_confidence"": 0.9999999999999996, ""topk_candidates"": [{""center"": 3254, ""local_peak"": 1916.9333432666083, ""observable_selection_score"": 4.851929543166605, ""off_candidate_peak"": 104.5219176977945, ""stability_proxy"": 18.34001313302577}, {""center"": 3685, ""local_peak"": 1648.7752295573596, ""observable_selection_score"": 4.814277250833484, ""off_candidate_peak"": 89.90043887091404, ""stability_proxy"": 18.34001313302574}, {""center"": 3401, ""local_peak"": 1348.2470494640304, ""observable_selection_score"": 4.764004160894643, ""off_candidate_peak"": 73.51396314085306, ""stability_proxy"": 18.340013133025696}, {""center"": 3098, ""local_peak"": 998.5624808873638, ""observable_selection_score"": 4.68900808260414, ""off_candidate_peak"": 54.447206424797685, ""stability_proxy"": 18.3400131330256}, {""center"": 3847, ""local_peak"": 963.3704340527005, ""observable_selection_score"": 4.680047538602384, ""off_candidate_peak"": 52.52833937822557, ""stability_proxy"": 18.34001313302559}]}",PASS,,PASS,2.170249994378537,970512,,,-8.685846209726874e-05,True,TARGET_PRESERVED,3500,-17.673841999103715,False,False,246,246,1,140,-30.59602973777166
NoiseProductJamming,20.0,6002,500,Identity,IDENTITY_BASELINE,500,,,1.0,Identity,IDENTITY,1.0,0.0,{},PASS,,PASS,0.0,0,,,-8.678947198979587e-15,True,TARGET_PRESERVED,500,0.0,False,False,35,35,89,89,-6.7502922658730125e-15
NoiseProductJamming,20.0,6002,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,nan,0.01,{},ORACLE_TRUE_TARGET_IDX,target_idx,PASS,30.312249960843474,400257328,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,29.787357447549603,False,True,35,0,89,625,-0.47079808177915694
NoiseProductJamming,20.0,6002,500,adapt_filter_fair,FAIR_PROTOTYPE_A,500,535,35,0.8560324187849848,,FITTED_TOPK_PROTECTED_PROJECTION,1.00001,0.01,"{""candidate_count"": 5, ""candidate_separation"": 125, ""margin_confidence"": 0.71206483756997, ""method"": ""matched_filter_top_k_peak_margin"", ""peak_confidence"": 0.9999999999999997, ""topk_candidates"": [{""center"": 535, ""matched_response"": 2395.27026458445, ""normalized_peak"": 0.9999999999999997, ""relative_score"": 278.7064475221368}, {""center"": 782, ""matched_response"": 689.6825326969382, ""normalized_peak"": 0.2879351624300272, ""relative_score"": 80.24938623758236}, {""center"": 933, ""matched_response"": 350.9582786933896, ""normalized_peak"": 0.14652136916761516, ""relative_score"": 40.836450286785585}, {""center"": 3265, ""matched_response"": 30.150429188682804, ""normalized_peak"": 0.012587485276494892, ""relative_score"": 3.508213304649095}, {""center"": 1187, ""matched_response"": 25.982139733726747, ""normalized_peak"": 0.010847268518249784, ""relative_score"": 3.0232036740401114}]}",PASS,,PASS,0.7028340478427708,402428,,,-8.685846209919741e-05,True,TARGET_PRESERVED,500,-1.3924285498225366,False,False,35,35,89,626,-12.194943858022793
