algorithm,jsr_db,fmzuse_gain_db,negative_control_gain_mean_db,specificity_gap_db,fmzuse_pd_identity,fmzuse_pd_algorithm,fmzuse_target_change_db,negative_control_count
Current_WLN,0.0,-1.0925002258070098,nan,nan,1.0,1.0,1.7542552869168082,0
Current_WLN,10.0,1.1534946907183286,2.4799345082158095,-1.326439817497481,1.0,1.0,1.7542552869168082,5
Current_WLN,20.0,2.982964962148043,4.00029283326268,-1.0173278711146372,0.52,0.52,1.7542552869168082,5
Current_WLN,30.0,2.8749503780699963,3.458756309624092,-0.5838059315540955,0.0,0.1,1.7542552869168082,5
WLN_p10_o6,0.0,-0.8872157782677733,nan,nan,1.0,1.0,2.884881276191967,0
WLN_p10_o6,10.0,1.057171905420825,2.218264991550776,-1.161093086129951,1.0,1.0,2.884881276191967,5
WLN_p10_o6,20.0,2.5497486687845625,3.4961086612763084,-0.9463599924917458,0.52,0.52,2.884881276191967,5
WLN_p10_o6,30.0,2.3676656581212936,3.0396713240915023,-0.6720056659702087,0.0,0.04,2.884881276191967,5
