jammer,algorithm,jsr_db,seed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,interface_status,oracle_input_status,forbidden_keys_present,delta_sinr_db,pd_identity,pd_algorithm,peak_error_identity,peak_error_algorithm,false_peak_identity,false_peak_algorithm,target_only_response_change_db,target_preservation_status,runtime_ms,memory_usage_bytes,max_false_peak_db_after
AMNoiseGaiJam,Current_WLN,10.0,2018,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.375101611722343,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.0892079919576645,839351,-inf
AMNoiseGaiJam,Current_WLN,10.0,2019,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.545665907884235,1.0,1.0,1,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.126834006048739,839352,-27.314674797222693
AMNoiseGaiJam,Current_WLN,10.0,2020,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.6547348214989768,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.0896250498481095,839338,-inf
AMNoiseGaiJam,Current_WLN,10.0,2021,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.6373259522454227,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.080374979414046,839312,-inf
AMNoiseGaiJam,Current_WLN,10.0,2022,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.4206520839161385,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.1517500281333923,839320,-32.017205876141986
AMNoiseGaiJam,Current_WLN,10.0,2023,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.432025944350432,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.143541001714766,839470,-inf
AMNoiseGaiJam,Current_WLN,10.0,2024,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.7094815674354216,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.0549999899230897,839301,-33.42632963666193
AMNoiseGaiJam,Current_WLN,10.0,2025,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.600742740785826,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.120208984706551,839509,-30.124021704726694
AMNoiseGaiJam,Current_WLN,10.0,2026,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.6625749970671784,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.074417017865926,839525,-inf
AMNoiseGaiJam,Current_WLN,10.0,2027,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.676020473050098,1.0,1.0,0,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.4259999627247453,839442,-29.09640750683061
