jammer,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
AMNoiseGaiJam,0.0,250,250,0,0,0,8.808240117390106,0.4069089727613352,0.050440958847981165,1.0,-8.685885305006764e-06,0.0,0.0,0.9462864049930593,0.5960992253427335
AMNoiseGaiJam,10.0,250,250,0,0,0,16.684234519997496,3.4923443047255844,0.4329154851568395,1.0,-8.685885305006764e-06,0.04,0.16666666666666666,0.8128170874465033,0.36569920813390766
AMNoiseGaiJam,20.0,250,250,0,0,0,3.1933413622727214,8.070199805478616,1.000392332272041,0.748,-8.685885305006764e-06,0.864,0.9117647058823529,0.11058482883259128,12.373952431601138
AMNoiseGaiJam,30.0,250,250,0,0,0,0.0,0.0,0.0,0.6,-8.685885305006764e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,0.0,250,250,0,0,0,10.519333936494135,0.4124064902086091,0.05112243817108925,1.0,-8.685885305006764e-06,0.0,0.02,0.9253195783385927,0.30080993171875825
FMNoiseAimedJam,10.0,250,250,0,0,0,7.298317451701842,9.447823297830624,1.1711643096363664,0.976,-8.685885305006764e-06,0.624,0.6063829787234043,0.3185329598664525,18.943500884895403
FMNoiseAimedJam,20.0,250,250,0,0,0,-3.651775945784504,34.63798301662176,4.293768859560785,0.608,-8.685885305006764e-06,0.98,1412.4,0.016180087467655205,6.811770251842283
FMNoiseAimedJam,30.0,250,250,0,0,0,-3.7663366864286307,33.51412982080791,4.154454574067091,0.6,-8.685885305006764e-06,0.98,1516.0,0.01609954586947948,6.486419751468362
FMNoiseSaopin,0.0,250,250,0,0,0,8.048780336656291,2.9457442407051655,0.3651582392341031,1.0,-8.685885305006764e-06,0.0,0.004,0.9512208486653921,0.11390622735499711
FMNoiseSaopin,10.0,250,250,0,0,0,13.580738010330355,7.194216251579326,0.8918042859237524,1.0,-8.685885305006764e-06,0.088,0.12280701754385964,0.7989694888015862,3.2028753886328793
FMNoiseSaopin,20.0,250,250,0,0,0,2.295799815537487,4.336508358153844,0.5375591453616355,0.948,-8.685885305006764e-06,0.78,0.0,0.2066555715561571,0.04747767349322851
FMNoiseSaopin,30.0,250,250,0,0,0,4.333313792198943,8.179088401659515,1.0138903024979191,0.896,-8.685885305006764e-06,0.78,0.2,0.18599071557625174,0.020476481524133838
FMZuse,0.0,250,250,0,0,0,6.016700417400294,0.24598586965094837,0.030492724316319973,1.0,-8.685885305006764e-06,0.0,0.0,0.9665233604982859,0.12290745430416017
FMZuse,10.0,250,250,0,0,0,13.462915126191582,0.4468073711823188,0.055386815556905576,1.0,-8.685885305006764e-06,0.0,0.064,0.8883957360949025,0.08931878845607955
FMZuse,20.0,250,250,0,0,0,2.6151758937065366,7.103916130822686,0.8806105669842464,0.812,-8.685885305006764e-06,0.88,0.8666666666666667,0.09881734762102722,9.65990625626877
FMZuse,30.0,250,250,0,0,0,-7.741669689628835,48.41371302735788,6.001426043566893,0.608,-8.685885305006764e-06,0.964,1705.3333333333333,0.029066040610576497,13.118016593046429
NoJammer,0.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,10.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,20.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,30.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoiseConvolutionJamming,0.0,250,250,0,0,0,13.28253023431429,0.6644344551510157,0.08236414837947208,1.0,-8.685885305006764e-06,0.0,0.14,0.9203646305002666,0.028672162643276877
NoiseConvolutionJamming,10.0,250,250,0,0,0,8.213972225086918,10.282140205113702,1.274587304958527,0.54,-8.685885305006764e-06,0.608,0.8061224489795918,0.3242154572643095,0.8685556256946496
NoiseConvolutionJamming,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseConvolutionJamming,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseProductJamming,0.0,250,250,0,0,0,12.195979928784936,0.725426285543341,0.0899247740054073,1.0,-8.685885305006764e-06,0.0,0.192,0.9378594345518673,0.04450040090169516
NoiseProductJamming,10.0,250,250,0,0,0,15.25667219817148,9.26357722289783,1.1483249295644062,0.736,-8.685885305006764e-06,0.264,1.108695652173913,0.615662842094866,0.4759202636556559
NoiseProductJamming,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseProductJamming,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
SMSP,0.0,250,250,0,0,0,13.385478718808615,0.11480065637731732,0.01423083680055856,1.0,-8.685885305006764e-06,0.0,0.004,0.8992054467060455,0.22076025911289143
