jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,candidate_design,fit_function_name,dispatch_status,candidate_params_json,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9201,1000,1000,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
NoiseProductJamming,0.0,9201,1000,1000,,1000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.685846209437573e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,11.754760362812071,True,True,True,0,0,0,524,-8.68584620963044e-05,24.1587909986265,400257392
NoiseProductJamming,0.0,9201,1000,1000,A_k3_c0.8_r0.001,1000,0,0.945587406525044,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.68588530327097e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,11.754760362812071,True,True,True,0,0,0,534,-8.68588530327097e-06,0.5675830179825425,80000
NoiseProductJamming,0.0,9201,1500,1500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
NoiseProductJamming,0.0,9201,1500,1500,,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,11.407173063349916,True,True,True,0,0,0,440,-8.685846209437573e-05,24.99224996427074,400257328
NoiseProductJamming,0.0,9201,1500,1500,A_k3_c0.8_r0.001,1500,0,0.9464643651458643,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,11.407173063349916,True,True,True,0,0,0,452,-8.685885298449328e-06,0.5427500000223517,80000
NoiseProductJamming,0.0,9201,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
NoiseProductJamming,0.0,9201,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,,,NOT_APPLICABLE,,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,11.627743574939402,True,True,True,0,0,0,273,-8.68584620963044e-05,24.225791974458843,400257328
NoiseProductJamming,0.0,9201,2500,2500,A_k3_c0.8_r0.001,2500,0,0.9468292949634114,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,A,fit_adapt_filter_fair,PASS,"{""confidence_threshold"": 0.8, ""regularization"": 0.001, ""top_k"": 3}",,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,11.627743574939402,True,True,True,0,0,0,279,-8.685885304235298e-06,0.541082990821451,80000
NoiseProductJamming,0.0,9201,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,,NOT_APPLICABLE,,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-6.7502922658730125e-15,0.0,0
