jammer,role,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,2.295799815537487,4.336508358153844,0.5375591453616355,0.948,-8.685885305006764e-06,0.78,0.0,0.2066555715561571,0.04747767349322851
FMNoiseSaopin,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,4.333313792198943,8.179088401659515,1.0138903024979191,0.896,-8.685885305006764e-06,0.78,0.2,0.18599071557625174,0.020476481524133838
FMNoiseSaopin,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseSaopin,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,0.968,0.0,1.0,nan,1.0,0.0
FMNoiseSaopin,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.948,0.0,1.0,nan,1.0,0.0
FMNoiseSaopin,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.896,0.0,1.0,nan,1.0,0.0
FMNoiseSaopin,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,8.048769316706622,2.945736060583645,0.3651572252157339,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.1139613271033344
FMNoiseSaopin,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,15.351633708199985,6.008055658233305,0.7447662954119127,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.018425067040720222
FMNoiseSaopin,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,24.202305920449515,7.540547844971696,0.9347359950269246,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.6976222226519582
FMNoiseSaopin,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,33.481322318768214,7.7126371076587406,0.956068401040168,1.0,-8.68584620976545e-05,0.0,0.0,1.0,3.4006036914687066
FMZuse,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,6.016700417400294,0.24598586965094837,0.030492724316319973,1.0,-8.685885305006764e-06,0.0,0.0,0.9665233604982859,0.12290745430416017
FMZuse,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,13.462915126191582,0.4468073711823188,0.055386815556905576,1.0,-8.685885305006764e-06,0.0,0.064,0.8883957360949025,0.08931878845607955
FMZuse,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,2.6151758937065366,7.103916130822686,0.8806105669842464,0.812,-8.685885305006764e-06,0.88,0.8666666666666667,0.09881734762102722,9.65990625626877
FMZuse,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,-7.741669689628835,48.41371302735788,6.001426043566893,0.608,-8.685885305006764e-06,0.964,1705.3333333333333,0.029066040610576497,13.118016593046429
FMZuse,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMZuse,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMZuse,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.744,0.0,1.0,nan,1.0,0.0
FMZuse,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.604,0.0,1.0,nan,1.0,0.0
FMZuse,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,6.016700417400294,0.24598586965094849,0.030492724316319986,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.12290745430416017
FMZuse,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,13.462738806996903,0.44681983859512564,0.05538836103340875,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.08997998543612695
FMZuse,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,23.101017051357108,1.0548083086767555,0.13075539261130903,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.07195382619005741
FMZuse,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,31.88955627041454,2.174727210131206,0.26958197792348215,1.0,-8.68584620976545e-05,0.0,0.0,1.0,3.586392296296406
NoJammer,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,4.713040249563102,0.20082094641761236,0.02489402242797124,1.0,-8.685885305006764e-06,0.0,0.0,0.9783361017839017,0.05894297721591979
NoJammer,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
NoJammer,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
NoJammer,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
NoJammer,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
NoJammer,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,4.713040249563102,0.2008209464176124,0.024894022427971244,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.05894297721591979
NoJammer,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,4.713040249563102,0.2008209464176124,0.024894022427971244,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.05894297721591979
NoJammer,ORACLE_UPPER_BOUND,20.0,250,250,0,0,0,4.713040249563102,0.2008209464176124,0.024894022427971244,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.05894297721591979
NoJammer,ORACLE_UPPER_BOUND,30.0,250,250,0,0,0,4.713040249563102,0.2008209464176124,0.024894022427971244,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.05894297721591979
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,0.0,250,250,0,0,0,13.28253023431429,0.6644344551510157,0.08236414837947208,1.0,-8.685885305006764e-06,0.0,0.14,0.9203646305002666,0.028672162643276877
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,10.0,250,250,0,0,0,8.213972225086918,10.282140205113702,1.274587304958527,0.54,-8.685885305006764e-06,0.608,0.8061224489795918,0.3242154572643095,0.8685556256946496
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseConvolutionJamming,FROZEN_REJECTION_CONFIRMATION,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,-8.685885305006764e-06,1.0,nan,0.0,0.0
NoiseConvolutionJamming,IDENTITY_BASELINE,0.0,250,250,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
NoiseConvolutionJamming,IDENTITY_BASELINE,10.0,250,250,0,0,0,0.0,0.0,0.0,0.308,0.0,1.0,nan,1.0,0.0
NoiseConvolutionJamming,IDENTITY_BASELINE,20.0,250,250,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
NoiseConvolutionJamming,IDENTITY_BASELINE,30.0,250,250,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,nan,1.0,0.0
NoiseConvolutionJamming,ORACLE_UPPER_BOUND,0.0,250,250,0,0,0,13.282144390755725,0.6642689644539296,0.08234363394012512,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.028782362139954998
NoiseConvolutionJamming,ORACLE_UPPER_BOUND,10.0,250,250,0,0,0,22.40655222783427,1.8122733453401103,0.2246517313522357,1.0,-8.68584620976545e-05,0.0,0.0,1.0,0.02985317000618437
