jammer,jsr_db,seed,target_position,position_policy,fixture_label_physical,fixture_label_stress,physical_received_energy_error_db,stress_received_energy_error_db,physical_target_energy_error_db,stress_target_energy_error_db,physical_noise_energy_error_db,stress_noise_energy_error_db,physical_jammer_energy_error_db,stress_jammer_energy_error_db,physical_measured_jsr_db,stress_received_finite
NoiseProductJamming,0.0,6103,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.045693358870938165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
NoiseProductJamming,0.0,6103,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.04388444040688422,-0.1716749264116643,0.0,0.0,0.0,-0.9653377529300979,0.0,0.0,0.0,True
NoiseProductJamming,0.0,6103,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.027467685592944054,-0.36130105519200884,0.0,0.0,0.0,-2.295068778705083,-4.821637332766436e-16,-4.821637332766436e-16,-4.821637332766436e-16,True
NoiseProductJamming,0.0,6103,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.01831156229332332,-0.4487803452668999,0.0,0.0,0.0,-3.052591789404139,-4.821637332766436e-16,-4.821637332766436e-16,-4.821637332766436e-16,True
NoiseProductJamming,0.0,6104,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.3273620775019595,-0.08960042190140952,0.0,0.0,0.0,-0.5019022267490246,0.0,0.0,0.0,True
NoiseProductJamming,0.0,6104,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.29634200480620104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
NoiseProductJamming,0.0,6104,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.3264037337533958,-0.16144932285247154,0.0,0.0,0.0,-0.9422780784138575,0.0,0.0,0.0,True
NoiseProductJamming,0.0,6104,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.33273560950216063,-0.3268623117092998,0.0,0.0,0.0,-2.1289146572041338,-4.821637332766436e-16,-4.821637332766436e-16,-4.821637332766436e-16,True
NoiseProductJamming,0.0,6104,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.30451543743105247,-0.4200042133518741,0.0,0.0,0.0,-2.9471932930027327,0.0,0.0,0.0,True
NoiseProductJamming,10.0,6100,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.09800397607783834,-0.019233294676797137,0.0,0.0,0.0,-0.4536172142801617,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6100,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07724089810996429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True
