jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9101,1500,1500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-8.678947198979587e-15,0.0,0
NoiseProductJamming,0.0,9101,1500,1500,,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.238792118539344,True,True,True,0,0,0,459,-8.685846209919741e-05,23.71766703436151,400257328
NoiseProductJamming,0.0,9101,1500,1500,B_k3_c0.8_r0.001,1500,0,0.9314952533319651,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.238792118539344,True,True,True,0,0,0,450,-8.685885301342313e-06,0.499082962051034,80000
NoiseProductJamming,0.0,9101,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-8.678947198979587e-15,0.0,0
NoiseProductJamming,0.0,9101,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.385028253512722,True,True,True,0,0,1,273,-8.685846209726874e-05,23.908292001578957,400257328
NoiseProductJamming,0.0,9101,2500,2500,B_k3_c0.8_r0.001,2500,0,0.9288913115693505,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.385028253512722,True,True,True,0,0,1,270,-8.685885304235298e-06,0.483584008179605,80000
NoiseProductJamming,0.0,9101,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-8.678947198979587e-15,0.0,0
NoiseProductJamming,0.0,9101,3500,3500,,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.353065828366624,True,True,True,0,0,1,94,-8.68584620963044e-05,26.226415997371078,400257328
NoiseProductJamming,0.0,9101,3500,3500,B_k3_c0.8_r0.001,3500,0,0.9297752515439924,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.353065828366624,True,True,True,0,0,1,102,-8.685885307128283e-06,0.5153749953024089,80000
NoiseProductJamming,0.0,9101,4000,4000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-8.678947198979587e-15,0.0,0
