jammer,algorithm,jsr_db,trials,interface_status,performance_status,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,sinr_identity_mean_db,sinr_algorithm_mean_db,pd_identity,pd_algorithm,target_only_response_change_mean_db,target_only_response_change_ci95_db,peak_error_identity_mean,peak_error_algorithm_mean,false_peak_identity_mean,false_peak_algorithm_mean,runtime_mean_ms,memory_usage_bytes_mean
NoiseConvolutionJamming,adapt_filter,30.0,10,PASS,BLOCKED_ORACLE,-30.732596294707502,2.443894064101105,1.5147412341341067,7.9485422364427505,-22.78405405826475,0.0,0.0,nan,0.0,321.8,999.0,0.2,624.0,29.761308303568512,400241104.0
NoiseProductJamming,adapt_filter,0.0,10,PASS,BLOCKED_ORACLE,-50.7985291122355,0.5820365391056589,0.36074998442304673,28.014475053897247,-22.784054058338253,1.0,0.0,nan,0.0,0.0,999.0,0.5,628.1,36.94350420264527,400242747.4
NoiseProductJamming,adapt_filter,10.0,10,PASS,BLOCKED_ORACLE,-41.680375651477746,1.5290230555015802,0.9476983082578284,18.896321593139497,-22.784054058338253,0.1,0.0,nan,0.0,1.0,999.0,0.5,628.1,32.98312500119209,400241104.0
NoiseProductJamming,adapt_filter,20.0,10,PASS,BLOCKED_ORACLE,-34.99986994937278,2.1517229232363326,1.3336516848804012,12.215815891034525,-22.784054058338253,0.0,0.0,nan,0.0,117.5,999.0,0.4,628.1,34.66627930174582,400241104.0
NoiseProductJamming,adapt_filter,30.0,10,PASS,BLOCKED_ORACLE,-33.13485384583025,1.7703379003599375,1.0972667986784943,10.350799787492,-22.784054058338253,0.0,0.0,nan,0.0,117.3,999.0,0.4,628.1,31.514929194236174,400241104.0
SMSP,FSTP,0.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.02198766778955168,0.003163942617449072,0.0019610319512139178,26.441748646313517,26.419760978523964,1.0,1.0,-1.8927670063756712e-05,2.213579435491238e-21,0.0,0.0,0.8,0.8,0.23567499592900276,682776.0
SMSP,FSTP,10.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.0223662862894507,0.004827546460226582,0.0029921442956214934,16.271787683845623,16.249421397556173,0.3,0.2,-1.8927670063756712e-05,2.213579435491238e-21,1.1,1.1,0.8,0.9,0.2329084847588092,682776.0
SMSP,FSTP,20.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.023194705213488386,0.003919523023903593,0.0024293455390131647,7.277966920301314,7.254772215087826,0.0,0.0,-1.8927670063756712e-05,2.213579435491238e-21,518.0,518.0,0.8,1.1,0.22095439489930868,682776.0
SMSP,FSTP,30.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,0.015015732126434233,0.0011518243285669404,0.000713908115162473,6.636042690887403,6.651058423013838,0.0,0.0,-1.8927670063756712e-05,2.213579435491238e-21,518.0,518.0,0.8,2.2,0.23773740394972265,682776.0
SMSP,qpzh,0.0,10,PASS,RECOMMENDED,2.6466187263851255,0.05742521878665541,0.0355925193538671,26.441748646313517,29.088367372698645,1.0,1.0,-8.678947198979587e-15,0.0,0.0,0.2,0.8,0.8,0.7986206910572946,482259.2
SMSP,qpzh,10.0,10,PASS,RECOMMENDED,3.5276128519233128,0.09416650689235492,0.05836500565202999,16.271787683845623,19.79940053576893,0.3,1.0,-8.678947198979587e-15,0.0,1.1,2.1,0.8,0.8,0.7849669025745243,482248.0
SMSP,qpzh,20.0,10,PASS,RECOMMENDED,1.6589876046218737,0.09621686059004345,0.059635828039984226,7.277966920301314,8.936954524923186,0.0,0.0,-8.678947198979587e-15,0.0,518.0,517.0,0.8,0.9,1.2570793100167066,482248.0
SMSP,qpzh,30.0,10,PASS,CONDITIONAL,-3.942026165705508,0.04054363180763708,0.025129203340967035,6.636042690887403,2.6940165251818953,0.0,0.0,-8.678947198979587e-15,0.0,518.0,517.0,0.8,0.8,1.0945208952762187,482248.0
SliceCombineJam,FSTP,0.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.01678679058803425,0.0028672466196134486,0.0017771378665537947,26.381987473842663,26.36520068325463,1.0,1.0,-8.678947198979587e-15,0.0,1.0,1.0,5.2,5.1,0.28962920187041163,685646.4
SliceCombineJam,FSTP,10.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.02166779371332055,0.0033573196024585367,0.002080888248272403,16.44156694390861,16.419899150195292,1.0,1.0,-8.678947198979587e-15,0.0,462.0,462.0,5.9,5.5,0.2310166135430336,682776.0
SliceCombineJam,FSTP,20.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.030006999386702305,0.004047132177013009,0.0025084385115389032,5.519406235822189,5.489399236435487,1.0,1.0,-8.678947198979587e-15,0.0,462.0,462.0,5.9,5.8,0.22392940591089427,682776.0
SliceCombineJam,FSTP,30.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,-0.01297775424632297,0.006869564498052754,0.004257800188066494,-6.681152186633341,-6.694129940879664,0.0,0.0,-8.678947198979587e-15,0.0,462.0,462.0,5.8,6.4,0.2403416088782251,682776.0
