jammer,algorithm,jsr_db,seed,interface_ok,oracle_target_idx_passed,oracle_jammer_info_passed,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_peak_loss_db,false_peak_count_before,false_peak_count_after,true_false_peak_ratio_before,true_false_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index
FMZuse,Identity,0.0,42,True,False,False,34.14375767734839,34.14375767734839,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,1,1,0.009192985132386599,0.009192985132386599,-40.730868845153466,-40.730868845153466,0.004958012141287327,80096,1500
FMZuse,WLN,0.0,42,True,False,False,34.14375767734839,33.02371620706408,-1.1200414702843062,True,True,1500,1500,0,0,0.0,0.0,2.053898620153089,1,1,0.009192985132386599,0.04395667222197846,-40.730868845153466,-27.139503872894863,2.884124987758696,866559,1500
FMZuse,FDC,0.0,42,True,False,False,34.14375767734839,34.14375767734839,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,1,1,0.009192985132386599,0.00919298513238661,-40.730868845153466,-40.73086884515345,0.2982090227305889,967451,1500
FMZuse,adapt_filter,0.0,42,True,False,False,34.14375767734839,40.14942065087749,6.005662973529098,True,True,1500,1501,0,1,0.0,3.0,-0.16689688787015902,1,232,0.009192985132386599,1.0446973397719662e-16,-40.730868845153466,-319.6201902236982,64.74041700130329,400257131,1500
FMZuse,FrFT,0.0,42,True,False,False,34.14375767734839,33.8998264136564,-0.2439312636919908,True,True,1500,1500,0,0,0.0,0.0,-0.3471988222140111,1,1,0.009192985132386599,0.009567897163816045,-40.730868845153466,-40.38367002293946,37.218375015072525,1155320,1500
FMZuse,qpzh,0.0,42,True,False,False,34.14375767734839,35.357539653145366,1.2137819757969766,True,True,1500,1500,0,0,0.0,0.0,0.031092615850631115,1,1,0.009192985132386599,0.009160136111565425,-40.730868845153466,-40.76196146100411,0.7175839855335653,482266,1500
FMZuse,Identity,0.0,43,True,False,False,33.888435629059884,33.888435629059884,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,1,1,0.014662402746263398,0.014662402746263398,-36.675897109669776,-36.675897109669776,0.003208988346159458,80096,1500
FMZuse,WLN,0.0,43,True,False,False,33.888435629059884,32.81058311930876,-1.077852509751125,True,True,1500,1500,0,0,0.0,0.0,2.029261209618966,1,2,0.014662402746263398,0.044150271687910664,-36.675897109669776,-27.101332391129223,2.256791980471462,839668,1500
FMZuse,FDC,0.0,43,True,False,False,33.888435629059884,33.888435629059884,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,1,1,0.014662402746263398,0.014662402746263395,-36.675897109669776,-36.675897109669776,0.2753330045379698,967165,1500
FMZuse,adapt_filter,0.0,43,True,False,False,33.888435629059884,40.14942065087749,6.2609850218176035,True,True,1500,1501,0,1,0.0,3.0,-0.15135152639874971,1,211,0.014662402746263398,1.1172617975677283e-16,-36.675897109669776,-319.03690101544623,23.579000029712915,400241136,1500
FMZuse,FrFT,0.0,43,True,False,False,33.888435629059884,33.7300576079648,-0.15837802109508203,True,True,1500,1500,0,0,0.0,0.0,-0.3513101425780193,1,1,0.014662402746263398,0.01526759572580628,-36.675897109669776,-36.32458696709176,36.22366598574445,1129934,1500
FMZuse,qpzh,0.0,43,True,False,False,33.888435629059884,35.43844103197393,1.5500054029140458,True,True,1500,1500,0,0,0.0,0.0,0.04696315718444542,1,2,0.014662402746263398,0.03508415825105974,-36.675897109669776,-29.097778774497677,0.7051249849610031,482266,1500
FMZuse,Identity,0.0,44,True,False,False,33.86208739483598,33.86208739483598,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,0,0,0.0,0.0,-inf,-inf,0.002874992787837982,80096,1500
FMZuse,WLN,0.0,44,True,False,False,33.86208739483598,32.76367486973297,-1.098412525103015,True,True,1500,1500,0,0,0.0,0.0,2.1525579080939123,0,0,0.0,0.0,-inf,-inf,2.168458013329655,839913,1500
FMZuse,FDC,0.0,44,True,False,False,33.86208739483598,33.86208739483598,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,0,0,0.0,0.0,-inf,-inf,0.2650829846970737,967165,1500
FMZuse,adapt_filter,0.0,44,True,False,False,33.86208739483598,40.14942065087749,6.2873332560415065,True,True,1500,1501,0,1,0.0,3.0,-0.13470069802957177,0,228,0.0,1.2648437911963486e-16,-inf,-317.9592621349878,23.526374949142337,400241136,1500
FMZuse,FrFT,0.0,44,True,False,False,33.86208739483598,33.53939179034255,-0.3226956044934326,True,True,1500,1500,0,0,0.0,0.0,-0.3385206440430833,0,0,0.0,0.0,-inf,-inf,36.41816700110212,1129980,1500
FMZuse,qpzh,0.0,44,True,False,False,33.86208739483598,35.107232083055074,1.2451446882190922,True,True,1500,1500,0,0,0.0,0.0,-0.024540888512321456,0,0,0.0,0.0,-inf,-inf,0.7102919626049697,482266,1500
FMZuse,Identity,0.0,45,True,False,False,34.07466885989781,34.07466885989781,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,1,1,0.02198419471263158,0.02198419471263158,-33.157788761691286,-33.157788761691286,0.0029170187190175056,80096,1500
FMZuse,WLN,0.0,45,True,False,False,34.07466885989781,32.918911183776444,-1.1557576761213681,True,True,1500,1500,0,0,0.0,0.0,2.08308445958027,1,1,0.02198419471263158,0.035287935106937215,-33.157788761691286,-29.04747507757246,2.23837501835078,840097,1500
FMZuse,FDC,0.0,45,True,False,False,34.07466885989781,34.07466885989781,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,1,1,0.02198419471263158,0.021984194712631588,-33.157788761691286,-33.15778876169128,0.2680830075405538,967165,1500
FMZuse,adapt_filter,0.0,45,True,False,False,34.07466885989781,40.14942065087749,6.0747517909796755,True,True,1500,1501,0,1,0.0,3.0,-0.1367681906668281,1,200,0.02198419471263158,1.0959164509125358e-16,-33.157788761691286,-319.2044510756232,23.60983402468264,400241136,1500
FMZuse,FrFT,0.0,45,True,False,False,34.07466885989781,33.90982685815,-0.1648420017478145,True,True,1500,1500,0,0,0.0,0.0,-0.33845317154217575,1,1,0.02198419471263158,0.02285773642396537,-33.157788761691286,-32.81933559014912,36.56312497332692,1129934,1500
FMZuse,qpzh,0.0,45,True,False,False,34.07466885989781,35.38928969482863,1.314620834930821,True,True,1500,1500,0,0,0.0,0.0,-0.04402353133942046,1,1,0.02198419471263158,0.02209590217458608,-33.157788761691286,-33.11376523035187,0.7197919767349958,482266,1500
FMZuse,Identity,0.0,46,True,False,False,34.140791100479525,34.140791100479525,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,4,4,0.024192762166317848,0.024192762166317848,-32.32629087988387,-32.32629087988387,0.002874992787837982,80096,1500
FMZuse,WLN,0.0,46,True,False,False,34.140791100479525,32.96435027736854,-1.1764408231109869,True,True,1500,1500,0,0,0.0,0.0,2.131467212969924,4,3,0.024192762166317848,0.03792039979555879,-32.32629087988387,-28.422541850682705,2.1398329990915954,839532,1500
FMZuse,FDC,0.0,46,True,False,False,34.140791100479525,34.140791100479525,0.0,True,True,1500,1500,0,0,0.0,0.0,-5.785964799319725e-15,4,4,0.024192762166317848,0.02419276216631784,-32.32629087988387,-32.32629087988388,0.26479101506993175,967165,1500
FMZuse,adapt_filter,0.0,46,True,False,False,34.140791100479525,40.14942065087749,6.008629550397963,True,True,1500,1501,0,1,0.0,3.0,-0.18998642165758334,4,206,0.024192762166317848,8.234461395164498e-17,-32.32629087988387,-321.6872960434432,23.740958946291357,400241136,1500
FMZuse,FrFT,0.0,46,True,False,False,34.140791100479525,33.85912328553505,-0.2816678149444769,True,True,1500,1500,0,0,0.0,0.0,-0.36100138005405824,4,4,0.024192762166317848,0.0252194450064137,-32.32629087988387,-31.965289499829822,36.43000003648922,1129980,1500
FMZuse,qpzh,0.0,46,True,False,False,34.140791100479525,35.428327099692936,1.2875359992134108,True,True,1500,1500,0,0,0.0,0.0,-0.03530691021889852,4,4,0.024192762166317848,0.02429130245585345,-32.32629087988387,-32.290983969664985,0.6954999989829957,482266,1500
FMZuse,Identity,0.0,47,True,False,False,34.13059030746961,34.13059030746961,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,2,2,0.01888790809134207,0.01888790809134207,-34.47632278406741,-34.47632278406741,0.0027919886633753777,80096,1500
