jammer,algorithm,jsr_db,trials,interface_status,performance_status,jammer_contract_status,jammer_comparable,fair_ranking_eligible,exploratory_only,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,oracle_input_status,forbidden_keys_present,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,sinr_identity_mean_db,sinr_algorithm_mean_db,pd_identity,pd_algorithm,target_only_response_change_mean_db,target_only_response_change_ci95_db,target_preservation_status,peak_error_identity_mean,peak_error_algorithm_mean,false_peak_identity_mean,false_peak_algorithm_mean,runtime_mean_ms,memory_usage_bytes_mean
ISDJ,qpzh,20.0,10,PASS,BLOCKED_JAMMER_CONTRACT,LEGACY_JSR_BLOCKED,False,False,True,20.0,nan,nan,legacy/unified-JSR-blocked,False,PASS,,-4.051111587632161,0.08460257278621,0.05243721787926182,10.3399391615192,6.288827573887037,1.0,0.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,379.8,379.8,0.8,0.8,0.7796125952154398,482202.0
ISDJ,qpzh,30.0,10,PASS,BLOCKED_JAMMER_CONTRACT,LEGACY_JSR_BLOCKED,False,False,True,30.0,nan,nan,legacy/unified-JSR-blocked,False,PASS,,-2.252509014636302,0.09465556411898701,0.05866812646152521,1.3314477554105317,-0.9210612592257705,0.0,0.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,379.9,379.9,0.8,0.8,0.7788998947944492,482202.0
NoiseConvolutionJamming,adapt_filter,0.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,0.0,4.82163733276643e-17,4.82163733276643e-17,unified/pass,True,PASS,,-49.52314561486209,0.5806144649300347,0.35986857371729764,26.73909155658394,-22.784054058278144,1.0,0.0,nan,0.0,TARGET_ERASED,0.3,999.0,0.2,622.6,25.030979100847617,400241224.0
NoiseConvolutionJamming,adapt_filter,10.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,10.0,10.0,-3.552713678800501e-16,unified/pass,True,PASS,,-39.85107398570271,1.8995286461218583,1.1773400524862836,17.067019927436164,-22.78405405826655,0.3,0.0,nan,0.0,TARGET_ERASED,1.0,999.0,0.2,628.3,23.768274893518537,400241224.0
NoiseConvolutionJamming,adapt_filter,20.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,20.0,20.0,-3.552713678800501e-16,unified/pass,True,PASS,,-32.51343009359634,3.2113698528141477,1.9904276562421093,9.729376035331425,-22.784054058264907,0.0,0.0,nan,0.0,TARGET_ERASED,302.0,999.0,0.2,630.1,25.270633498439565,400241224.0
NoiseConvolutionJamming,adapt_filter,30.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,30.0,30.0,0.0,unified/pass,True,PASS,,-30.732596294707502,2.443894064101105,1.5147412341341067,7.9485422364427505,-22.78405405826475,0.0,0.0,nan,0.0,TARGET_ERASED,321.8,999.0,0.2,624.0,23.729958292096853,400241224.0
NoiseProductJamming,adapt_filter,0.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,0.0,1.4464911998299303e-16,1.4464911998299303e-16,unified/pass,True,PASS,,-50.7985291122355,0.5820365391056589,0.36074998442304673,28.014475053897247,-22.784054058338253,1.0,0.0,nan,0.0,TARGET_ERASED,0.0,999.0,0.5,628.1,26.914108503842726,400242854.6
NoiseProductJamming,adapt_filter,10.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,10.0,10.0,0.0,unified/pass,True,PASS,,-41.680375651477746,1.5290230555015802,0.9476983082578284,18.896321593139497,-22.784054058338253,0.1,0.0,nan,0.0,TARGET_ERASED,1.0,999.0,0.5,628.1,25.226583395851776,400241224.0
NoiseProductJamming,adapt_filter,20.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,20.0,20.0,-3.552713678800501e-16,unified/pass,True,PASS,,-34.99986994937278,2.1517229232363326,1.3336516848804012,12.215815891034525,-22.784054058338253,0.0,0.0,nan,0.0,TARGET_ERASED,117.5,999.0,0.4,628.1,25.09450819925405,400241224.0
NoiseProductJamming,adapt_filter,30.0,10,PASS,BLOCKED_ORACLE,UNIFIED_JSR_PASS,True,False,False,30.0,30.0,0.0,unified/pass,True,PASS,,-33.13485384583025,1.7703379003599375,1.0972667986784943,10.350799787492,-22.784054058338253,0.0,0.0,nan,0.0,TARGET_ERASED,117.3,999.0,0.4,628.1,24.78087090421468,400241224.0
SMSP,FSTP,0.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,UNIFIED_JSR_PASS,True,False,False,0.0,0.0,0.0,unified/pass,True,PASS,,-0.02198766778955168,0.003163942617449072,0.0019610319512139178,26.441748646313517,26.419760978523964,1.0,1.0,-1.8927670063756712e-05,2.213579435491238e-21,TARGET_PRESERVED,0.0,0.0,0.8,0.8,0.19299571285955608,682896.0
SMSP,FSTP,10.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,UNIFIED_JSR_PASS,True,False,False,10.0,10.0,0.0,unified/pass,True,PASS,,-0.0223662862894507,0.004827546460226582,0.0029921442956214934,16.271787683845623,16.249421397556173,0.3,0.2,-1.8927670063756712e-05,2.213579435491238e-21,TARGET_PRESERVED,1.1,1.1,0.8,0.9,0.19332091906107962,682896.0
SMSP,FSTP,20.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,UNIFIED_JSR_PASS,True,False,False,20.0,20.0,0.0,unified/pass,True,PASS,,-0.023194705213488386,0.003919523023903593,0.0024293455390131647,7.277966920301314,7.254772215087826,0.0,0.0,-1.8927670063756712e-05,2.213579435491238e-21,TARGET_PRESERVED,518.0,518.0,0.8,1.1,0.19388760556466877,682896.0
SMSP,FSTP,30.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,UNIFIED_JSR_PASS,True,False,False,30.0,30.0,0.0,unified/pass,True,PASS,,0.015015732126434233,0.0011518243285669404,0.000713908115162473,6.636042690887403,6.651058423013838,0.0,0.0,-1.8927670063756712e-05,2.213579435491238e-21,TARGET_PRESERVED,518.0,518.0,0.8,2.2,0.19360839505679905,682896.0
SMSP,qpzh,0.0,10,PASS,RECOMMENDED,UNIFIED_JSR_PASS,True,True,False,0.0,0.0,0.0,unified/pass,True,PASS,,2.6466187263851255,0.05742521878665541,0.0355925193538671,26.441748646313517,29.088367372698645,1.0,1.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,0.0,0.2,0.8,0.8,0.6990792055148631,482277.2
SMSP,qpzh,10.0,10,PASS,RECOMMENDED,UNIFIED_JSR_PASS,True,True,False,10.0,10.0,0.0,unified/pass,True,PASS,,3.5276128519233128,0.09416650689235492,0.05836500565202999,16.271787683845623,19.79940053576893,0.3,1.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,1.1,2.1,0.8,0.8,0.7013374182861298,482266.0
SMSP,qpzh,20.0,10,PASS,RECOMMENDED,UNIFIED_JSR_PASS,True,True,False,20.0,20.0,0.0,unified/pass,True,PASS,,1.6589876046218737,0.09621686059004345,0.059635828039984226,7.277966920301314,8.936954524923186,0.0,0.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,518.0,517.0,0.8,0.9,0.797962601063773,482275.2
SMSP,qpzh,30.0,10,PASS,CONDITIONAL,UNIFIED_JSR_PASS,True,True,False,30.0,30.0,0.0,unified/pass,True,PASS,,-3.942026165705508,0.04054363180763708,0.025129203340967035,6.636042690887403,2.6940165251818953,0.0,0.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,518.0,517.0,0.8,0.8,0.8004749950487167,482266.0
SliceCombineJam,FSTP,0.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,LEGACY_JSR_BLOCKED,False,False,True,0.0,nan,nan,legacy/unified-JSR-blocked,False,PASS,,-0.01678679058803425,0.0028672466196134486,0.0017771378665537947,26.381987473842663,26.36520068325463,1.0,1.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,1.0,1.0,5.2,5.1,0.24203749489970505,685750.4
SliceCombineJam,FSTP,10.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,LEGACY_JSR_BLOCKED,False,False,True,10.0,nan,nan,legacy/unified-JSR-blocked,False,PASS,,-0.02166779371332055,0.0033573196024585367,0.002080888248272403,16.44156694390861,16.419899150195292,1.0,1.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,462.0,462.0,5.9,5.5,0.19427090883255005,682896.0
SliceCombineJam,FSTP,20.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,LEGACY_JSR_BLOCKED,False,False,True,20.0,nan,nan,legacy/unified-JSR-blocked,False,PASS,,-0.030006999386702305,0.004047132177013009,0.0025084385115389032,5.519406235822189,5.489399236435487,1.0,1.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,462.0,462.0,5.9,5.8,0.19603759865276515,682896.0
SliceCombineJam,FSTP,30.0,10,PASS,NOT_APPLICABLE_MULTIPULSE,LEGACY_JSR_BLOCKED,False,False,True,30.0,nan,nan,legacy/unified-JSR-blocked,False,PASS,,-0.01297775424632297,0.006869564498052754,0.004257800188066494,-6.681152186633341,-6.694129940879664,0.0,0.0,-8.678947198979587e-15,0.0,TARGET_PRESERVED,462.0,462.0,5.8,6.4,0.19375840201973915,682896.0
