candidate_id,design,top_k,confidence_threshold,regularization,equivalence_class,behavior_signature,equivalent_nominal_count,equivalent_members,representative_selection_rule,effective_candidate,qualification,positive_jsr_count_npj,positive_jsr_count_ncj,target_delta_mean_db,score,criteria_json
A_k3_c0.8_r0.001,A,3,0.8,0.001,EQ_001,5c7259d618ffd68a2c9b7e6f7dec479e6167fe56c7bbb5989ef6d5ff0cb86227,4,"[""A_k3_c0.8_r0.001"",""A_k5_c0.8_r0.001"",""B_k3_c0.8_r0.001"",""B_k5_c0.8_r0.001""]",design A; smaller top_k; higher threshold; smaller regularization; candidate_id,True,False,1,1,4.192123697862608,4.192123697862608,"{""fallback_nonconstant"": true, ""interface_pass"": true, ""no_oracle"": true, ""nojammer_target_only_gt_minus_0_5"": true, ""pd_not_below_identity"": true, ""position_spread_lt_5"": true, ""target_erased_zero"": true, ""target_jammer_pass"": false, ""target_only_gt_minus_0_5"": true}"
A_k3_c0.65_r0.001,A,3,0.65,0.001,EQ_002,7f589a9749e0bf518e473f0b2cee7e6fae9cc55bce33e73bcfaff63824b9507f,4,"[""A_k3_c0.65_r0.001"",""A_k5_c0.65_r0.001"",""B_k3_c0.65_r0.001"",""B_k5_c0.65_r0.001""]",design A; smaller top_k; higher threshold; smaller regularization; candidate_id,True,False,1,1,1.452768964066758,1.452768964066758,"{""fallback_nonconstant"": true, ""interface_pass"": true, ""no_oracle"": true, ""nojammer_target_only_gt_minus_0_5"": true, ""pd_not_below_identity"": true, ""position_spread_lt_5"": true, ""target_erased_zero"": true, ""target_jammer_pass"": false, ""target_only_gt_minus_0_5"": true}"
