jammer,jsr_db,selection_metric,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
AMNoiseGaiJam,0.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.6533333333333333,0.7596066331572318,1.5317709544440448,1.7748957122226219,0.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,0.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.4656000000000002,0.7756257313729252,1.3414740314818705,1.58972596851813,0.07999999999999996,1.9,1.9,1.9,1.9
AMNoiseGaiJam,0.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.6623999999999999,0.6405950254077696,1.5598834449910681,1.7649165550089316,0.07999999999999996,1.92,1.92,1.92,1.92
AMNoiseGaiJam,10.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.64,0.7709490359987374,1.5166224586153507,1.763377541384649,0.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,10.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5376000000000003,0.7272414367887393,1.4212171312571937,1.6539828687428069,0.07999999999999996,1.9,1.9,1.9,1.9
AMNoiseGaiJam,10.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.6133333333333333,0.6880247641347219,1.5032264393014505,1.723440227365216,0.07999999999999996,1.92,1.92,1.92,1.92
AMNoiseGaiJam,20.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.6,0.8026800745087813,1.4715444348626145,1.7284555651373856,0.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,20.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.4296,0.7962655116860653,1.3021709787107416,1.5570290212892584,0.07999999999999996,0.09999999999999998,1.9,1.9,1.9
AMNoiseGaiJam,20.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.6378666666666668,0.6651886614016138,1.5314143101962303,1.7443190231371033,0.07999999999999996,1.92,1.92,1.92,1.92
AMNoiseGaiJam,30.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.5866666666666667,0.8125415150295598,1.4566329423655064,1.716700390967827,0.0,2.0,2.0,2.0,2.0
