jammer,jsr_db,selection_metric,target_position,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
AMNoiseGaiJam,10.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.3066666666666669,0.8822124747331069,0.9909709870231311,1.6223623463102026,0.07999999999999996,0.07999999999999996,1.92,1.92,1.92
AMNoiseGaiJam,10.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,10.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,10.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,20.0,entropy,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.0,1.0170952554312156,0.6360371371729783,1.3639628628270217,0.0,0.0,1.0,2.0,2.0
AMNoiseGaiJam,20.0,entropy,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.0,1.0170952554312156,0.6360371371729783,1.3639628628270217,0.0,0.0,1.0,2.0,2.0
AMNoiseGaiJam,20.0,entropy,2500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,20.0,entropy,3500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,20.0,entropy,4000,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,20.0,peak,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.1199999999999999,0.9072124793887156,0.7953581835845583,1.4446418164154413,0.09999999999999998,0.09999999999999998,1.9,1.9,1.9
AMNoiseGaiJam,20.0,peak,1500,SUPPLEMENTARY_DIAGNOSTIC,30,0.328,0.6271907810722896,0.10356266141364956,0.5524373385863505,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.09999999999999998,1.9
AMNoiseGaiJam,20.0,peak,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
AMNoiseGaiJam,20.0,peak,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
AMNoiseGaiJam,20.0,peak,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
AMNoiseGaiJam,20.0,topk,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.2453333333333334,0.901843832850552,0.922612662408545,1.568054004258122,0.07999999999999996,0.07999999999999996,1.92,1.92,1.92
AMNoiseGaiJam,20.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.184,0.9168220975852893,0.8559194258764451,1.5120805741235548,0.07999999999999996,0.07999999999999996,1.92,1.92,1.92
AMNoiseGaiJam,20.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,20.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,20.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,30.0,entropy,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.0666666666666667,1.01483252680985,0.7035135108778356,1.4298198224554977,0.0,0.0,2.0,2.0,2.0
AMNoiseGaiJam,30.0,entropy,1500,SUPPLEMENTARY_DIAGNOSTIC,30,0.8666666666666667,1.0080138659874616,0.5059535373161762,1.227379796017157,0.0,0.0,0.0,2.0,2.0
AMNoiseGaiJam,30.0,entropy,2500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,30.0,entropy,3500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,30.0,entropy,4000,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
AMNoiseGaiJam,30.0,peak,1000,SUPPLEMENTARY_DIAGNOSTIC,30,0.9399999999999998,0.9133492741288649,0.6131621597900518,1.2668378402099478,0.09999999999999998,0.09999999999999998,0.09999999999999998,1.9,1.9
AMNoiseGaiJam,30.0,peak,1500,SUPPLEMENTARY_DIAGNOSTIC,30,0.26799999999999996,0.5533746003168758,0.06997744245528051,0.46602255754471944,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.09999999999999998,1.9
AMNoiseGaiJam,30.0,peak,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
AMNoiseGaiJam,30.0,peak,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
AMNoiseGaiJam,30.0,peak,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
AMNoiseGaiJam,30.0,topk,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.2453333333333336,0.9018438328505521,0.9226126624085452,1.568054004258122,0.07999999999999996,0.07999999999999996,1.92,1.92,1.92
AMNoiseGaiJam,30.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.0613333333333332,0.9336459246650618,0.7272324300076087,1.3954342366590577,0.07999999999999996,0.07999999999999996,1.92,1.92,1.92
AMNoiseGaiJam,30.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,30.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
AMNoiseGaiJam,30.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,0.0,entropy,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.5333333333333334,0.8603661343041525,1.2254552662116898,1.841211400454977,0.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,0.0,entropy,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.4666666666666666,0.8995528902176074,1.1447657990344473,1.7885675342988858,0.0,0.5,2.0,2.0,2.0
FMNoiseAimedJam,0.0,entropy,2500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,0.0,entropy,3500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
