case_id,jammer,jsr_db,seed,target_position,window_start,window_stop,window_length,fixture_label,position_policy,measured_jsr_db,jsr_status,selection_metric,order_source,evaluation_order,overlap,target_inside_jammer,jammer_inside_target,iou,center_distance_combined_width,metric_scope
NoiseProductJamming|jsr=0|seed=10000|center=2500,NoiseProductJamming,0.0,10000,2500,2000,3000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,entropy,jammer,1.0,0.49618906116902317,0.7138017378737784,0.7640385936859593,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=2500,NoiseProductJamming,0.0,10000,2500,2000,3000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,entropy,received,1.0,0.49618906116902317,0.7138017378737784,0.7640385936859593,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,peak,target,0.9,0.4987463771405745,0.6949324113529567,0.7427793171241109,0.5503875968992248,0.405,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,peak,jammer,0.96,0.49725262475039367,0.7106456325827506,0.760385329459472,0.5503875968992248,0.405,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,peak,received,0.98,0.4967876805489496,0.7129673144839654,0.7630160016374204,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,topk,target,0.92,0.4983479845298907,0.701602252954212,0.750263575717085,0.5503875968992248,0.405,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,topk,jammer,-1.0,0.49618906116902334,0.7138017378737787,0.7640385936859596,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,topk,received,0.98,0.4967876805489496,0.7129673144839654,0.7630160016374204,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,entropy,target,1.0,0.49618906116902317,0.7138017378737784,0.7640385936859593,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,entropy,jammer,1.0,0.49618906116902317,0.7138017378737784,0.7640385936859593,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=3500,NoiseProductJamming,0.0,10000,3500,3000,4000,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,entropy,received,-1.0,0.49618906116902334,0.7138017378737787,0.7640385936859596,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,peak,target,0.9,0.4987463771405745,0.6949324113529567,0.7427793171241109,0.5503875968992248,0.405,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,peak,jammer,0.96,0.49725262475039367,0.7106456325827506,0.760385329459472,0.5503875968992248,0.405,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,peak,received,0.98,0.4967876805489496,0.7129673144839654,0.7630160016374204,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,topk,target,0.92,0.4983479845298907,0.701602252954212,0.750263575717085,0.5503875968992248,0.405,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,topk,jammer,-1.0,0.49618906116902334,0.7138017378737787,0.7640385936859596,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,topk,received,0.98,0.4967876805489496,0.7129673144839654,0.7630160016374204,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,entropy,target,1.0,0.49618906116902317,0.7138017378737784,0.7640385936859593,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,entropy,jammer,1.0,0.49618906116902317,0.7138017378737784,0.7640385936859593,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10000|center=4000,NoiseProductJamming,0.0,10000,4000,3500,4500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,0.0,unified/pass,entropy,received,-1.0,0.49618906116902334,0.7138017378737787,0.7640385936859596,0.5503875968992248,0.01,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,peak,target,0.9,0.4857091825450643,0.6772456932455173,0.6852044210099617,0.5267175572519084,0.475,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,peak,jammer,-0.94,0.48476691134079575,0.678594816216069,0.7022494505261947,0.5267175572519084,0.055,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,peak,received,0.96,0.48308747377084965,0.6902021669360693,0.701448283178117,0.5267175572519084,0.475,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,topk,target,0.92,0.48468591249332343,0.6836260058299214,0.6921210787159063,0.5267175572519084,0.475,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,topk,jammer,0.98,0.4827588775617662,0.6931250879979979,0.7038498517540679,0.5267175572519084,0.06,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,topk,received,0.98,0.4827588775617662,0.6931250879979979,0.7038498517540679,0.5267175572519084,0.06,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,entropy,target,1.0,0.48267138177590235,0.6838581773310167,0.7047527944332195,0.5151515151515151,0.06,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,entropy,jammer,-1.0,0.48267138177590246,0.6838581773310171,0.7047527944332196,0.5151515151515151,0.06,SUPPLEMENTARY_DIAGNOSTIC
NoiseProductJamming|jsr=0|seed=10001|center=1000,NoiseProductJamming,0.0,10001,1000,500,1500,1000,PHYSICAL_COMPONENT_RECOMPOSITION,TARGET_COUPLED_COMPONENT_SHIFT,9.64327466553287e-16,unified/pass,entropy,received,-1.0,0.48267138177590246,0.6838581773310171,0.7047527944332196,0.5151515151515151,0.06,SUPPLEMENTARY_DIAGNOSTIC
