Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanCleanTargetLoss_dB,CleanTargetLoss_std_dB,CleanTargetLoss_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMZuse,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-8.630730825651923e-15,-0.00047182872296014226,0.12489896221464851,0.054739383686901816,0.0,0.0028875074349343777,Baseline
FMZuse,WLN,0.0,20,1.0,1.0,1.0,-1.1191712619835166,0.08164218201338017,0.03578126388741242,0.0,0.0,0.7,0.35,2.099771279854817,2.0992994511318663,0.14093925163276846,0.061769350480368426,0.0,2.183808496920392,Conditional
FMZuse,FDC,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,-7.859268852409295e-15,-0.00047182872295940955,0.12489896221464825,0.0547393836869017,0.0,0.26533120253589004,Neutral
FMZuse,adapt_filter,0.0,20,1.0,1.0,1.0,5.931661003832946,0.2486096917873915,0.10895800145756819,0.0,1.0,0.7,448.9,-0.1552960313536441,-0.29044274267482056,0.13935487336216812,0.06107496608740178,0.0,24.927570897853002,Recommended
FMZuse,FrFT,0.0,20,1.0,1.0,1.0,-0.2505087864521567,0.046805827435499735,0.020513558330224804,0.0,0.0,0.7,0.65,-0.33692319819882144,-0.3373950269217727,0.13183675808365367,0.05778000678961592,0.0,36.00674165063538,Conditional
FMZuse,qpzh,0.0,20,1.0,1.0,1.0,1.3021728017882919,0.1946195983719588,0.08529579973582782,0.0,0.0,0.7,0.7,-0.0021998809984941367,-0.0026717097214452104,0.11045059030683427,0.04840710550388791,0.0,0.6922249536728486,Recommended
FMZuse,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.15,0.15,0.65,0.65,-8.437865332341269e-15,0.06898071217879227,0.3689562411551851,0.16170220224537668,0.0,0.0027707050321623683,Baseline
FMZuse,WLN,10.0,20,1.0,1.0,1.0,1.1350252408198964,0.11894920314455414,0.05213178680372834,0.15,0.15,0.65,0.35,3.3387004788613353,3.4105299473922295,0.33852173623839127,0.14836369236169816,0.0,2.140412706648931,Recommended
FMZuse,FDC,10.0,20,1.0,1.0,1.0,0.00015304414817212119,0.0006853994806183039,0.0003003895667594931,0.15,0.15,0.65,0.65,-0.0020031964654811285,0.06697052836827015,0.37094811984467796,0.16257518157129397,0.0,0.2630041039083153,Neutral
FMZuse,adapt_filter,10.0,20,1.0,1.0,1.0,13.313262819220792,0.46686582339122895,0.20461296862494305,0.15,1.0,0.65,448.6,-0.167374851244533,-0.22636528529122332,0.4142338892593223,0.18154600645372107,0.0,23.49617284780834,Recommended
FMZuse,FrFT,10.0,20,1.0,1.0,1.0,-0.2170310061715961,0.03529167143246654,0.01546725696706618,0.15,0.15,0.65,0.5,-0.3316922586149734,-0.26355969829363723,0.38446880839098074,0.16850088459495258,0.0,36.08883760753088,Conditional
FMZuse,qpzh,10.0,20,1.0,1.0,1.0,2.507873652913794,0.269053630694233,0.11791795273378407,0.15,0.15,0.65,0.65,-0.07487416795368941,-0.009858197449210295,0.20370776218338238,0.08927886314213518,0.0,0.6876709056086838,Recommended
FMZuse,Identity,20.0,20,1.0,0.55,0.55,0.0,0.0,0.0,0.6,0.6,0.65,0.65,-7.907485225736957e-15,0.3085269031084113,1.1486468997240258,0.503416699785752,0.22370045761428853,0.002779092756099999,Baseline
FMZuse,WLN,20.0,20,1.0,0.55,0.8,2.823127092811845,0.29362561832870687,0.12868710113360574,0.6,0.5,0.65,0.4,4.645110715026641,4.988627119459308,0.8795425698938164,0.38547652717593694,0.1798619353545204,2.126071002567187,Recommended
FMZuse,FDC,20.0,20,1.0,0.55,0.55,0.0005405350662258002,0.001948875001475521,0.0008541321286580565,0.6,0.6,0.65,0.65,-0.0053185806676995535,0.30315663626297357,1.1442028076162885,0.5014689905437224,0.22370045761428853,0.2627500449307263,Neutral
FMZuse,adapt_filter,20.0,20,1.0,0.55,1.0,22.62085952028386,1.1321903219600251,0.49620428658051785,0.6,1.0,0.65,447.6,-0.3069147316634973,-0.018280047969366713,1.2895755494751795,0.5651814037866363,0.0,23.52333964954596,Recommended
FMZuse,FrFT,20.0,20,1.0,0.55,0.45,-0.20444741251982287,0.052360949761663264,0.02294819803457197,0.6,0.7,0.65,0.7,-0.33079479528920114,-0.0323041080012763,1.1876916211137178,0.5205288034189707,0.22370045761428858,36.49238949874416,Harmful/Not demonstrated
FMZuse,qpzh,20.0,20,1.0,0.55,1.0,2.6461177263616618,0.5085059049110329,0.22286253898685826,0.6,0.6,0.65,0.6,-0.23417014130290034,0.09220537052547048,0.6263185423541273,0.27449620390939233,0.0,0.7038520532660186,Recommended
FMZuse,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,449.6,449.6,0.8,0.8,-6.5574267725623554e-15,1.0716147392489206,4.104464160477834,1.798860731311848,0.0,0.002810446312651038,Baseline
FMZuse,WLN,30.0,20,1.0,0.0,0.2,2.894248208219035,0.9237830460065861,0.4048657707171782,449.6,230.2,0.8,0.5,4.6430430478866915,6.152259639434364,2.667807347680564,1.1692181217362827,0.1798619353545204,2.1485479490365833,Recommended
FMZuse,FDC,30.0,20,1.0,0.0,0.0,0.0022513929451660974,0.007063075040974191,0.003095529120672879,449.6,449.6,0.8,0.8,-0.005385607073259674,1.067411685522766,4.0986205459967175,1.796299654345889,0.0,0.2640664955833927,Neutral
FMZuse,adapt_filter,30.0,20,1.0,0.0,1.0,30.688918143377077,2.561157477631157,1.1224767553287722,449.6,1.0,0.8,449.1,-1.4867760335944005,0.7027632494352867,4.157762106982183,1.822219586275043,0.0,23.531514703063294,Recommended
FMZuse,FrFT,30.0,20,1.0,0.0,0.0,-0.04930479137863904,0.7464994411114667,0.32716780511620475,449.6,449.55,0.8,0.85,-0.3094122539022962,0.6926790087610004,4.459415423016071,1.9544249810518832,0.0,36.38378755422309,Conditional
FMZuse,qpzh,30.0,20,1.0,0.0,0.0,-0.7211630200788659,4.767170858560859,2.0893047476192304,449.6,449.15,0.8,1.6,-9.410071766370367,-7.30985564219999,4.365518489673647,1.9132728355887278,0.0,0.8210770989535376,Conditional
FMNoiseAimedJam,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.486081705668932e-15,0.08252987574264173,0.3375262942676915,0.1479274206825265,0.0,0.0028103531803935766,Baseline
FMNoiseAimedJam,WLN,0.0,20,1.0,1.0,1.0,-0.3811044986662708,0.08826180222991833,0.03868244036213702,0.0,0.0,0.5,0.35,2.146557685610209,2.2290875613528596,0.41792970574869787,0.1831657694466323,0.0,2.1281750465277582,Conditional
FMNoiseAimedJam,FDC,0.0,20,1.0,1.0,1.0,-0.001979425579528815,0.0064214027276467385,0.0028143038299444523,0.0,0.0,0.5,0.5,-0.05648621259100979,0.026043663151640473,0.339477763354629,0.14878268971926534,0.0,0.26630840147845447,Neutral
FMNoiseAimedJam,adapt_filter,0.0,20,1.0,1.0,1.0,10.441992458808883,0.49908629606269783,0.21873421338841648,0.0,1.0,0.5,447.6,-0.1835080297415458,-0.23565303659712028,0.32909607393607326,0.14423271372007387,0.0,23.517302199616097,Recommended
