jammer,algorithm,jsr_db,seed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,interface_status,oracle_input_status,forbidden_keys_present,delta_sinr_db,pd_identity,pd_algorithm,peak_error_identity,peak_error_algorithm,false_peak_identity,false_peak_algorithm,target_only_response_change_db,target_preservation_status,runtime_ms,memory_usage_bytes,max_false_peak_db_after
FMZuse,Current_WLN,0.0,1019,UNIFIED_JSR_PASS,True,0.0,-4.821637332766436e-16,-4.821637332766436e-16,unified/pass,True,PASS,PASS,,-1.0252521000903485,1.0,1.0,0,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.109375025611371,839497,-26.66802762504956
FMZuse,Current_WLN,10.0,1000,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.0067563728785736,1.0,1.0,0,0,0,1,1.7542552869168084,TARGET_PRESERVED,2.1142089972272515,839645,-31.4790145072346
FMZuse,Current_WLN,10.0,1001,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.0447284310336364,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.1725419792346656,839332,-inf
FMZuse,Current_WLN,10.0,1002,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.206734750351547,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.4573749979026616,839524,-inf
FMZuse,Current_WLN,10.0,1003,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.0712112308134856,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.100875019095838,839252,-20.920698650565328
FMZuse,Current_WLN,10.0,1004,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.2224646279775833,1.0,1.0,0,0,2,1,1.7542552869168084,TARGET_PRESERVED,2.244458009954542,839509,-28.608420125323924
FMZuse,Current_WLN,10.0,1005,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.2271755090918042,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.175832982175052,839220,-31.32448536953861
FMZuse,Current_WLN,10.0,1006,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.238568774492542,1.0,1.0,0,0,0,1,1.7542552869168084,TARGET_PRESERVED,2.240207977592945,839372,-29.768673339158628
FMZuse,Current_WLN,10.0,1007,UNIFIED_JSR_PASS,True,10.0,10.000000000000002,1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.2021604444236509,1.0,1.0,1,1,1,1,1.7542552869168084,TARGET_PRESERVED,2.268207957968116,839282,-32.18840185070096
FMZuse,Current_WLN,10.0,1008,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.0339512911027242,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.2193329641595483,839375,-inf
