jammer,algorithm,jsr_db,seed,interface_ok,oracle_target_idx_passed,oracle_jammer_info_passed,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_window_peak_change_db,processed_reference_response_vs_clean_db,false_peak_count_before,false_peak_count_after,false_true_peak_ratio_before,false_true_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index,cfar_reference_cells_min,cfar_reference_cells_max,target_only_response_change_db,target_only_reference_peak_index
FMZuse,qpzh,0.0,44,True,False,False,33.86208739483598,35.107232083055074,1.2451446882190922,True,True,1500,1500,0,0,0.0,0.0,-0.024540888512321456,0.07566602942264611,0,0,0.0,0.0,-inf,-inf,1.7253330443054438,683434,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,45,True,False,False,34.07466885989781,34.07466885989781,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.0636765956118863,1,1,0.021894749064909534,0.021894749064909534,-33.19320055759844,-33.19320055759844,0.40612497832626104,683012,1500,20,40,-8.678947198979587e-15,1500
FMZuse,WLN,0.0,45,True,False,False,34.07466885989781,32.918911183776444,-1.1557576761213681,True,True,1500,1500,0,0,0.0,0.0,2.08308445958027,2.019407863968392,1,0,0.021894749064909534,0.0,-33.19320055759844,-inf,4.91170899476856,938294,1500,20,40,1.7542552869168084,1500
FMZuse,FDC,0.0,45,True,False,False,34.07466885989781,34.07466885989781,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,-0.06367659561188532,1,1,0.021894749064909534,0.02189474906490954,-33.19320055759844,-33.19320055759844,0.9543339838273823,1047837,1500,20,40,-8.678947198979587e-15,1500
FMZuse,adapt_filter,0.0,45,True,False,False,34.07466885989781,40.14942065087749,6.0747517909796755,True,True,1500,1501,0,1,0.0,3.0,-0.1367681906668281,-0.335119668876931,1,450,0.021894749064909534,1.0959164509125358e-16,-33.19320055759844,-319.2044510756232,60.41325000114739,400321888,1500,20,40,-0.2875765247524093,1500
FMZuse,FrFT,0.0,45,True,False,False,34.07466885989781,33.90982685815,-0.1648420017478145,True,True,1500,1500,0,0,0.0,0.0,-0.33845317154217575,-0.4021297671540538,1,1,0.021894749064909534,0.02276473665451161,-33.19320055759844,-32.854747386056275,79.47941700695083,1210724,1500,20,40,-0.3374184101833674,1500
FMZuse,qpzh,0.0,45,True,False,False,34.07466885989781,35.38928969482863,1.314620834930821,True,True,1500,1500,0,0,0.0,0.0,-0.04402353133942046,-0.10770012695129788,1,1,0.021894749064909534,0.02200600203005756,-33.19320055759844,-33.149177026259025,1.7636250122450292,683526,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,46,True,False,False,34.140791100479525,34.140791100479525,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.054017578201427004,3,3,0.024192762166317848,0.024192762166317848,-32.32629087988387,-32.32629087988387,0.41508395224809647,682966,1500,20,40,-8.678947198979587e-15,1500
FMZuse,WLN,0.0,46,True,False,False,34.140791100479525,32.96435027736854,-1.1764408231109869,True,True,1500,1500,0,0,0.0,0.0,2.131467212969924,2.077449634768505,3,2,0.024192762166317848,0.03792039979555879,-32.32629087988387,-28.422541850682705,4.832833015825599,938398,1500,20,40,1.7542552869168084,1500
FMZuse,FDC,0.0,46,True,False,False,34.140791100479525,34.140791100479525,0.0,True,True,1500,1500,0,0,0.0,0.0,-5.785964799319725e-15,-0.05401757820142409,3,3,0.024192762166317848,0.02419276216631784,-32.32629087988387,-32.32629087988388,0.9460840374231339,1047837,1500,20,40,-8.678947198979587e-15,1500
