Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMZuse,FrFT,10.0,20,1.0,1.0,1.0,-0.2170310061715961,0.03529167143246654,0.01546725696706618,0.15,0.15,0.65,0.5,-0.3316922586149734,-0.26355969829363723,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,78.71759164845571,Conditional
FMZuse,qpzh,10.0,20,1.0,1.0,1.0,2.507873652913794,0.269053630694233,0.11791795273378407,0.15,0.15,0.65,0.65,-0.07487416795368941,-0.009858197449210295,-8.678947198979587e-15,0.0,0.0,0.0,1.8377293541561812,Recommended
FMZuse,Identity,20.0,20,1.0,0.55,0.55,0.0,0.0,0.0,0.6,0.6,0.65,0.65,-7.907485225736957e-15,0.3085269031084113,-8.678947198979587e-15,0.0,0.0,0.22370045761428853,0.4052958363899961,Baseline
FMZuse,WLN,20.0,20,1.0,0.55,0.8,2.823127092811845,0.29362561832870687,0.12868710113360574,0.6,0.5,0.65,0.4,4.645110715026641,4.988627119459308,1.7542552869168084,0.0,0.0,0.1798619353545204,4.866289545316249,Recommended
FMZuse,FDC,20.0,20,1.0,0.55,0.55,0.0005405350662258002,0.001948875001475521,0.0008541321286580565,0.6,0.6,0.65,0.65,-0.0053185806676995535,0.30315663626297357,-8.678947198979587e-15,0.0,0.0,0.22370045761428853,0.9555581986205652,Neutral
FMZuse,adapt_filter,20.0,20,1.0,0.55,1.0,22.62085952028386,1.1321903219600251,0.49620428658051785,0.6,1.0,0.65,447.6,-0.3069147316634973,-0.018280047969366713,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,69.09680009703152,Blocked oracle-risk
FMZuse,FrFT,20.0,20,1.0,0.55,0.45,-0.20444741251982287,0.052360949761663264,0.02294819803457197,0.6,0.7,0.65,0.7,-0.33079479528920114,-0.0323041080012763,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.22370045761428858,78.89508544758428,Harmful/Not demonstrated
FMZuse,qpzh,20.0,20,1.0,0.55,1.0,2.6461177263616618,0.5085059049110329,0.22286253898685826,0.6,0.6,0.65,0.6,-0.23417014130290034,0.09220537052547048,-8.678947198979587e-15,0.0,0.0,0.0,1.7516021034680307,Recommended
FMZuse,Identity,30.0,20,1.0,0.0,0.0,0.0,0.0,0.0,449.6,449.6,0.8,0.8,-6.5574267725623554e-15,1.0716147392489206,-8.678947198979587e-15,0.0,0.0,0.0,0.4122458543861285,Baseline
FMZuse,WLN,30.0,20,1.0,0.0,0.2,2.894248208219035,0.9237830460065861,0.4048657707171782,449.6,230.2,0.8,0.5,4.6430430478866915,6.152259639434364,1.7542552869168084,0.0,0.0,0.1798619353545204,4.9202230060473084,Recommended
FMZuse,FDC,30.0,20,1.0,0.0,0.0,0.0022513929451660974,0.007063075040974191,0.003095529120672879,449.6,449.6,0.8,0.8,-0.005385607073259674,1.067411685522766,-8.678947198979587e-15,0.0,0.0,0.0,0.9631666092900559,Neutral
