Jammer,Algorithm,DeltaSINR_dB,Pd_before,Pd_after,PeakError_before,PeakError_after,FalsePeak_before,FalsePeak_after,DeltaSINR_std_dB,DeltaSINR_ci95_dB,WindowPeakChange_dB,ReferenceResponseVsClean_dB,TargetOnlyResponseChange_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,Conclusion
FMZuse,Identity,0.0,0.6375,0.6375,112.5875,112.5875,0.7,0.7,0.0,0.0,-7.883377039073126e-15,0.362162631453291,-8.678947198979587e-15,0.0,0.10600750809330392,Baseline
FMZuse,WLN,1.433307319966815,0.6375,0.75,112.5875,57.7125,0.7,0.4,1.7123861207426243,0.3752431534313517,3.6816563804073716,4.162679039354442,1.7542552869168087,4.8964660899542137e-17,0.09548676096185975,Recommended
FMZuse,FDC,0.0007362430398910047,0.6375,0.6375,112.5875,112.5875,0.7,0.7,0.0037200559781636177,0.0008151932086332756,-0.003176846051612054,0.35926675535776254,-8.678947198979587e-15,0.0,0.10600750809330392,Neutral
FMZuse,adapt_filter,18.138675371678666,0.6375,1.0,112.5875,1.0,0.7,448.55,9.514937886993893,2.085052695866642,-0.5290904119640187,0.04191879337496899,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
FMZuse,FrFT,-0.18032299913055366,0.6375,0.6125,112.5875,112.6,0.7,0.675,0.3762872200156833,0.08245757269590975,-0.32720562650132307,0.014855043886078523,-0.3374184101833673,1.2241165224885534e-17,0.10743144708503562,Harmful/Not demonstrated
FMZuse,qpzh,1.4337502902462205,0.6375,0.75,112.5875,112.475,0.7,0.8875,2.7200411649180687,0.5960553007427427,-2.4303289891563624,-1.8075450447112935,-8.678947198979587e-15,0.0,0.09548676096185975,Recommended
FMNoiseAimedJam,Identity,0.0,0.5,0.5,151.7875,151.7875,0.425,0.425,0.0,0.0,-6.714129985877264e-15,1.6384659478967216,-8.678947198979587e-15,0.0,0.11025861429075033,Baseline
FMNoiseAimedJam,WLN,1.25263633678756,0.5,0.525,151.7875,111.5,0.425,0.2875,1.1292695162423967,0.2474620935171576,3.4101776986579866,5.064722703480783,1.7542552869168087,4.8964660899542137e-17,0.11012070477550152,Recommended
FMNoiseAimedJam,FDC,-0.002272990042039835,0.5,0.5,151.7875,151.7875,0.425,0.425,0.040379829209130455,0.008848620217081831,-0.07293735602203015,1.5633447138835561,-8.678947198979587e-15,0.0,0.11025861429075033,Neutral
FMNoiseAimedJam,adapt_filter,22.348670656552258,0.5,1.0,151.7875,1.0,0.425,447.1875,8.541304561833185,1.8716958864452293,-1.161951736122943,1.2503845560457998,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
FMNoiseAimedJam,FrFT,-0.24294420132879163,0.5,0.475,151.7875,151.775,0.425,0.3625,0.22756427870937368,0.049867221251597024,-0.3970781911705015,1.226652137739554,-0.3374184101833673,1.2241165224885534e-17,0.11012070477550152,Harmful/Not demonstrated
FMNoiseAimedJam,qpzh,-1.1669048262520039,0.5,0.5875,151.7875,151.6375,0.425,0.8125,5.696458355044529,1.2482914750618672,-5.487895794705974,-3.1077099195635265,-8.678947198979587e-15,0.0,0.10855715113842633,Conditional
FMNoiseSaopin,Identity,0.0,1.0,1.0,242.3875,242.3875,0.425,0.425,0.0,0.0,-8.654839012315754e-15,0.018684257902090683,-8.678947198979587e-15,0.0,0.0,Baseline
FMNoiseSaopin,WLN,5.829462314054712,1.0,1.0,242.3875,15.075,0.425,0.5,4.95520228352183,1.0858565765252657,5.201264978227566,5.2249530431227,1.7542552869168087,4.8964660899542137e-17,0.0,Recommended
FMNoiseSaopin,FDC,0.0020044371757607627,1.0,1.0,242.3875,242.4,0.425,0.425,0.004369240491499077,0.0009574520374055795,-0.027773650138711192,-0.009089392236611767,-8.678947198979587e-15,0.0,0.0,Neutral
