Jammer,Algorithm,JSR_dB,Trials,DeltaSINR_mean_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,Pd_before,Pd_after,PeakError_before,PeakError_after,FalsePeak_before,FalsePeak_after,TargetOnlyResponseChange_mean_dB,TargetOnlyResponseChange_ci95_dB,Runtime_mean_ms
FMZuse,New_FDC,0.0,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7,0.7,-0.011138744501188643,7.800268042352735e-19,0.38394379371311516
FMZuse,New_FDC,10.0,20,0.014288102625174126,0.046823838136413484,0.020521451867931653,1.0,1.0,0.15,0.15,0.65,0.65,-0.011138744501188643,7.800268042352735e-19,0.38627931207884103
FMZuse,New_FDC,20.0,20,0.024654519953146804,0.0703108194413644,0.030815075277622495,0.55,0.55,0.6,0.6,0.65,0.65,-0.011138744501188643,7.800268042352735e-19,0.38363975181709975
FMZuse,New_FDC,30.0,20,0.005388451013239726,0.013486515984843472,0.0059107262382625154,0.0,0.0,449.6,449.6,0.8,0.8,-0.011138744501188643,7.800268042352735e-19,0.3839478478766978
NoiseProductJamming,Current_FDC,0.0,20,-0.002383650857707487,0.020575982883162165,0.009017822100402051,1.0,1.0,0.0,0.0,0.4,0.4,-8.678947198979587e-15,0.0,0.33686654933262616
NoiseProductJamming,Current_FDC,10.0,20,0.010846328546502627,0.037332351008966175,0.01636162422472252,0.15,0.15,0.9,0.9,0.4,0.35,-8.678947198979587e-15,0.0,0.3361728391610086
NoiseProductJamming,Current_FDC,20.0,20,-0.03519277584383449,0.23166454436801562,0.1015314631599462,0.0,0.0,135.5,144.1,0.35,0.35,-8.678947198979587e-15,0.0,0.3362792922416702
NoiseProductJamming,Current_FDC,30.0,20,-0.08361030951263863,0.31529496824324416,0.13818411246328416,0.0,0.0,163.95,163.9,0.4,0.35,-8.678947198979587e-15,0.0,0.33559160656295717
NoiseProductJamming,Identity,0.0,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4,-8.678947198979587e-15,0.0,0.002572996891103685
NoiseProductJamming,Identity,10.0,20,0.0,0.0,0.0,0.15,0.15,0.9,0.9,0.4,0.4,-8.678947198979587e-15,0.0,0.0025770539650693536
NoiseProductJamming,Identity,20.0,20,0.0,0.0,0.0,0.0,0.0,135.5,135.5,0.35,0.35,-8.678947198979587e-15,0.0,0.002572897938080132
NoiseProductJamming,Identity,30.0,20,0.0,0.0,0.0,0.0,0.0,163.95,163.95,0.4,0.4,-8.678947198979587e-15,0.0,0.002585246693342924
NoiseProductJamming,New_FDC,0.0,20,0.4568128326625132,0.3827407729883414,0.16774353968789835,1.0,1.0,0.0,0.0,0.4,0.35,-0.011138744501188643,7.800268042352735e-19,0.3868583939038217
NoiseProductJamming,New_FDC,10.0,20,0.9529970012371602,0.6498433284552647,0.2848063960015363,0.15,0.25,0.9,0.8,0.4,0.5,-0.011138744501188643,7.800268042352735e-19,0.3866832557832822
NoiseProductJamming,New_FDC,20.0,20,0.08593969167133153,0.7397160447735187,0.3241948505915297,0.0,0.0,135.5,133.45,0.35,0.55,-0.011138744501188643,7.800268042352735e-19,0.38473538879770786
NoiseProductJamming,New_FDC,30.0,20,-0.18778470668373987,0.5912718801989524,0.259136326992558,0.0,0.0,163.95,163.9,0.4,0.55,-0.011138744501188643,7.800268042352735e-19,0.3872020519338548
