jammer,algorithm,role,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,1250,50,50,0,0,0,19.436583920354074,1.2550459153975,0.34788097917139565,-8.685846209726874e-05,1.0,0.0,1.0,34.79176583816297,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,19.469087375915468,1.2492839734712207,0.34628385035351655,-8.68584620963044e-05,1.0,0.0,1.0,30.925579958129674,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,3750,50,50,0,0,0,19.456457503211357,1.2494134008760573,0.34631972579980413,-8.68584620991974e-05,1.0,0.0,1.0,30.824940798338503,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,4500,50,50,0,0,0,19.49060726825297,1.2494715864289299,0.3463358540122134,-8.68584620991974e-05,1.0,0.0,1.0,30.885695095639676,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,500,50,50,0,0,0,15.92099369556776,1.3367536311640076,0.3705292024897498,-8.68584620991974e-05,1.0,0.0,1.0,30.641010905383155,400257296.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,1250,50,50,0,0,0,27.742272450254568,2.3324570360891905,0.6465241053216174,-8.685846209726874e-05,1.0,0.0,1.0,35.606046699685976,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,27.781899726152087,2.324658775443055,0.6443625377517551,-8.68584620963044e-05,1.0,0.0,1.0,35.59458996052854,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,3750,50,50,0,0,0,27.780614545517725,2.3246612787992764,0.6443632316466977,-8.68584620991974e-05,1.0,0.0,1.0,35.521153275622055,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,4500,50,50,0,0,0,27.822265101574494,2.3246867378711316,0.6443702885413796,-8.68584620991974e-05,1.0,0.0,1.0,35.264820059528574,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,500,50,50,0,0,0,24.179146339255222,2.4956002368041132,0.6917450934253774,-8.68584620991974e-05,1.0,0.0,1.0,35.31100084190257,400257296.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,1250,50,50,0,0,0,31.510095339979994,3.064520303899419,0.8494416904846862,-8.685846209726874e-05,1.0,0.0,1.0,33.18512667785399,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,31.550383221024425,3.058093941617336,0.8476603937402616,-8.68584620963044e-05,1.0,0.0,1.0,33.20218831882812,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,3750,50,50,0,0,0,31.550254455682936,3.0580953840253855,0.8476607935553746,-8.68584620991974e-05,1.0,0.0,1.0,33.22057081735693,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,4500,50,50,0,0,0,31.592290329184937,3.057636755092011,0.8475336681008704,-8.68584620991974e-05,1.0,0.0,1.0,33.17371413577348,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,500,50,50,0,0,0,27.928993672863996,3.0650536969517113,0.8495895394956572,-8.68584620991974e-05,1.0,0.0,1.0,32.955512502230704,400257296.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,1250,50,50,0,0,0,6.802852618357281,3.0245693138911656,0.8383678410323051,-8.685846209726874e-05,1.0,0.0,1.0,32.98002416267991,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,2500,50,50,0,0,0,7.306199474359536,3.208343284028624,0.8893073866642952,-8.68584620963044e-05,1.0,0.0,1.0,33.09354164171964,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,3750,50,50,0,0,0,7.019922896779979,3.4212775639368567,0.9483297577862081,-8.68584620991974e-05,1.0,0.0,1.0,33.217655022162944,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,4500,50,50,0,0,0,6.85693641725166,3.5893553793075275,0.9949185512883318,-8.68584620991974e-05,1.0,0.0,1.0,33.10967670287937,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,500,50,50,0,0,0,2.607990441165165,0.15752185651732745,0.04366283098797066,-8.68584620991974e-05,1.0,0.0,1.0,32.980022522388026,400257296.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,1250,50,50,0,0,0,12.921743394384778,6.5572145635373955,1.817567146360412,-8.685846209726874e-05,1.0,0.0,1.0,33.14776084036566,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,14.10451101425026,6.499117254538344,1.8014633939049396,-8.68584620963044e-05,1.0,0.0,1.0,33.20020665880293,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,3750,50,50,0,0,0,13.966509152135092,6.684248544293446,1.852779169340032,-8.68584620991974e-05,1.0,0.0,1.0,33.12150092446245,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,4500,50,50,0,0,0,13.90966596281732,6.819935472776324,1.89038966706149,-8.68584620991974e-05,1.0,0.0,1.0,33.12719256733544,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,500,50,50,0,0,0,2.639354090748268,0.16161463190994385,0.04479729044769572,-8.68584620991974e-05,1.0,0.0,1.0,32.9281858028844,400257296.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,1250,50,50,0,0,0,20.69712256842399,9.649063875574063,2.6745840514200627,-8.685846209726874e-05,1.0,0.0,1.0,33.069646639050916,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,22.83268073725794,8.296020496058517,2.2995395610532205,-8.68584620963044e-05,1.0,0.0,1.0,32.954680039547384,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,3750,50,50,0,0,0,22.800168983387316,8.344299899431117,2.3129219289116523,-8.68584620991974e-05,1.0,0.0,1.0,32.76606421917677,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,4500,50,50,0,0,0,22.820513648125907,8.377051881915971,2.322000315285291,-8.68584620991974e-05,1.0,0.0,1.0,33.150869216769934,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,500,50,50,0,0,0,2.9591247803518446,0.3624946771744762,0.10047839819464739,-8.68584620991974e-05,1.0,0.0,1.0,33.25161491869949,400257296.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,1250,50,50,0,0,0,29.92950049960802,10.82471935620362,3.0004591247954404,-8.685846209726874e-05,1.0,0.0,1.0,33.070366765605286,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,32.56817583115382,8.70410860589341,2.412655814009275,-8.68584620963044e-05,1.0,0.0,1.0,33.03241081885062,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,3750,50,50,0,0,0,32.56437528534266,8.709820613376102,2.414239101705554,-8.68584620991974e-05,1.0,0.0,1.0,33.00635505816899,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,4500,50,50,0,0,0,32.60420741041872,8.713610088603055,2.4152894906485596,-8.68584620991974e-05,1.0,0.0,1.0,33.08625328121707,400257328.0
FMNoiseSaopin,adapt_filter_oracle,ORACLE_UPPER_BOUND,30.0,500,50,50,0,0,0,4.999033397922198,1.9409624346203245,0.5380073382229659,-8.68584620991974e-05,1.0,0.0,1.0,33.01739503862336,400257296.0
FMZuse,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,1250,50,50,0,0,0,5.988285575992815,0.2944812999109873,0.08162605184707793,-8.685846209726874e-05,1.0,0.0,1.0,33.297260759864,400257328.0
FMZuse,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,2500,50,50,0,0,0,5.878556198179294,0.30502601568251425,0.08454889793794865,-8.68584620963044e-05,1.0,0.0,1.0,33.18704742239788,400257328.0
