jammer,jsr_db,seed,target_position,algorithm,role,candidate_id,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,exception_type,exception_message,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,target_only_response_change_db,target_preservation_status
NoiseProductJamming,0.0,8001,500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,500,500,0,0.9127046731881496,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.862832974642515,563906,,,12.080923079741815,True,True,1,0,84,628,-0.23410963615087987,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,1250,Identity,IDENTITY_BASELINE,,1250,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,0,0,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,1250,adapt_filter_oracle,ORACLE_UPPER_BOUND,,1250,1250,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,61.98308302555233,400257328,,,12.326260922718,True,True,1,0,0,501,-0.2342348999632598,-8.685846209726874e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,1250,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,1250,1249,1,0.8972841923268607,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.6670829975046217,563906,,,12.32901591013487,True,True,1,1,0,487,-8.685885304235298e-06,-8.685885308092612e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,2500,Identity,IDENTITY_BASELINE,,2500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,2,2,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,2500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,2500,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,53.527874988503754,400257328,,,12.28627220528207,True,True,1,0,2,280,-0.2342348999632598,-8.68584620963044e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,2500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,2500,2499,1,0.8972841923268614,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.6637090486474335,563906,,,12.289027192698942,True,True,1,1,2,275,-8.685885304235298e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,3750,Identity,IDENTITY_BASELINE,,3750,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,4,4,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,3750,adapt_filter_oracle,ORACLE_UPPER_BOUND,,3750,3750,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,55.948082997929305,400257328,,,12.217579055321693,True,True,1,0,4,53,-0.2342348999632598,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,3750,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,3750,3749,1,0.8972841923268629,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.6832500007003546,563906,,,12.220334042738564,True,True,1,1,4,49,-8.685885304235298e-06,-8.685885305199628e-06,TARGET_PRESERVED
