jammer,jsr_db,target_position,trials,fallback_count,confidence_mean,estimation_error_mean,target_erased_count
FMZuse,30.0,2500,50,0,0.558755452429633,488.84,0
FMZuse,30.0,3750,50,0,0.5587554524296331,488.84,0
FMZuse,30.0,4500,50,0,0.5614894609511896,488.84,0
FMZuse,30.0,500,50,0,0.5790465290312301,75.28,0
NoJammer,0.0,1250,50,0,0.9788822235498048,0.0,0
NoJammer,0.0,2500,50,0,0.9788064803013864,0.0,0
NoJammer,0.0,3750,50,0,0.9790883346555402,0.0,0
NoJammer,0.0,4500,50,0,0.9802182307268816,0.0,0
NoJammer,0.0,500,50,0,0.9798549520575527,0.0,0
NoJammer,10.0,1250,50,0,0.9788822235498048,0.0,0
NoJammer,10.0,2500,50,0,0.9788064803013864,0.0,0
NoJammer,10.0,3750,50,0,0.9790883346555402,0.0,0
NoJammer,10.0,4500,50,0,0.9802182307268816,0.0,0
NoJammer,10.0,500,50,0,0.9798549520575527,0.0,0
NoJammer,20.0,1250,50,0,0.9788822235498048,0.0,0
NoJammer,20.0,2500,50,0,0.9788064803013864,0.0,0
NoJammer,20.0,3750,50,0,0.9790883346555402,0.0,0
NoJammer,20.0,4500,50,0,0.9802182307268816,0.0,0
NoJammer,20.0,500,50,0,0.9798549520575527,0.0,0
NoJammer,30.0,1250,50,0,0.9788822235498048,0.0,0
NoJammer,30.0,2500,50,0,0.9788064803013864,0.0,0
NoJammer,30.0,3750,50,0,0.9790883346555402,0.0,0
NoJammer,30.0,4500,50,0,0.9802182307268816,0.0,0
NoJammer,30.0,500,50,0,0.9798549520575527,0.0,0
NoiseConvolutionJamming,0.0,1250,50,0,0.8947239127871189,0.94,0
NoiseConvolutionJamming,0.0,2500,50,0,0.8947239127871194,0.94,0
NoiseConvolutionJamming,0.0,3750,50,0,0.894723912787121,0.94,0
NoiseConvolutionJamming,0.0,4500,50,0,0.8947239127871233,0.94,0
NoiseConvolutionJamming,0.0,500,50,0,0.923541398596357,0.0,0
NoiseConvolutionJamming,10.0,1250,50,0,0.6730457411957884,2.68,0
NoiseConvolutionJamming,10.0,2500,50,0,0.6730457411957886,2.68,0
NoiseConvolutionJamming,10.0,3750,50,0,0.6730457411957893,2.68,0
NoiseConvolutionJamming,10.0,4500,50,0,0.6710360507362738,1.76,0
NoiseConvolutionJamming,10.0,500,50,0,0.775894926388672,2.62,0
NoiseConvolutionJamming,20.0,1250,50,0,0.5701224998767302,219.14,0
NoiseConvolutionJamming,20.0,2500,50,0,0.5701224998767302,219.14,0
NoiseConvolutionJamming,20.0,3750,50,0,0.5701224998767304,219.14,0
NoiseConvolutionJamming,20.0,4500,50,0,0.5652414277933895,248.32,0
NoiseConvolutionJamming,20.0,500,50,0,0.6074736936221768,55.14,0
NoiseConvolutionJamming,30.0,1250,50,0,0.5695974196213632,257.58,0
NoiseConvolutionJamming,30.0,2500,50,0,0.5690688107224028,257.58,0
NoiseConvolutionJamming,30.0,3750,50,0,0.5690688107224028,257.58,0
NoiseConvolutionJamming,30.0,4500,50,0,0.5659755276770038,276.78,0
NoiseConvolutionJamming,30.0,500,50,0,0.6033083178428678,86.32,0
NoiseProductJamming,0.0,1250,50,0,0.8971998030937044,0.98,0
NoiseProductJamming,0.0,2500,50,0,0.897199803093705,0.98,0
NoiseProductJamming,0.0,3750,50,0,0.8971998030937064,0.98,0
NoiseProductJamming,0.0,4500,50,0,0.898466291799195,0.98,0
NoiseProductJamming,0.0,500,50,0,0.919018997516584,0.0,0
NoiseProductJamming,10.0,1250,50,0,0.6856695667448467,5.3,0
NoiseProductJamming,10.0,2500,50,0,0.6856695667448471,5.3,0
NoiseProductJamming,10.0,3750,50,0,0.6856695667448477,5.3,0
NoiseProductJamming,10.0,4500,50,0,0.6769868315253538,4.1,0
NoiseProductJamming,10.0,500,50,0,0.762690152741822,9.02,0
NoiseProductJamming,20.0,1250,50,0,0.5763307771124458,201.22,0
NoiseProductJamming,20.0,2500,50,0,0.5763307771124458,201.22,0
NoiseProductJamming,20.0,3750,50,0,0.5763307771124461,201.22,0
NoiseProductJamming,20.0,4500,50,0,0.571543301330714,218.04,0
NoiseProductJamming,20.0,500,50,0,0.5780697193890756,58.06,0
